,GEOID,FP_nearest,FP_tt,FP_tt_3
650,36081044400,282f594a-b3f5-4dd0-b11f-95c65a407cf3,8.16,11.69
651,36081044601,5c95325b-3e46-4b2b-9280-beab8ca89ce1,0.64,0.92
652,36081044602,612ecd35-331b-4a16-917b-94565ec46224,1.07,1.8
653,36081044800,c75f21b9-2ab9-454f-92ef-2ce586762aaa,3.36,4.39
654,36081045000,4922d5e0-8934-4389-8c8f-b59d607f9010,7.4,8.31
655,36081045600,56170843-6904-4c0b-9d00-69bf6f14e7d8,12.1,13.61
656,36081045700,3ba24db4-665d-4c0d-b5f4-aae946742d30,6.22,8.28
657,36081045900,3ba24db4-665d-4c0d-b5f4-aae946742d30,3.28,8.48
658,36081046000,d3ff0011-1f1d-4e71-8d46-99715aa1a5c1,2.21,3.18
659,36081046100,3ba24db4-665d-4c0d-b5f4-aae946742d30,2.23,9.41
660,36081046400,282f594a-b3f5-4dd0-b11f-95c65a407cf3,14.05,15.95
661,36081046500,f6b0cc1f-9f16-4d81-b519-709af01a7d0b,7.81,8.65
662,36081046700,3ba24db4-665d-4c0d-b5f4-aae946742d30,6.62,9.73
663,36081046800,282f594a-b3f5-4dd0-b11f-95c65a407cf3,8.49,12.55
664,36081046901,3ba24db4-665d-4c0d-b5f4-aae946742d30,7.0,8.45
665,36081046902,3ba24db4-665d-4c0d-b5f4-aae946742d30,7.56,10.5
666,36081047000,0152e2bf-4839-491d-b21d-c38fea9ee160,9.97,13.43
667,36081047200,0152e2bf-4839-491d-b21d-c38fea9ee160,13.88,15.69
668,36081047300,7e61aa7d-de1d-448b-ac4a-0e1fb20531be,5.55,7.71
669,36081047801,ce6dcd3d-f8a3-4e53-b16d-ded41a7cd8b4,1.29,8.11
670,36081047802,ce6dcd3d-f8a3-4e53-b16d-ded41a7cd8b4,4.74,7.64
671,36081048000,0152e2bf-4839-491d-b21d-c38fea9ee160,5.35,10.74
672,36081048100,e244dff1-9767-44b8-9b52-9c66df1ceac1,5.82,7.69
673,36081048200,0152e2bf-4839-491d-b21d-c38fea9ee160,4.51,8.23
674,36081048400,f8be521d-a1fe-45c7-a63b-8f7c9eda5838,5.85,8.67
675,36081049201,f8be521d-a1fe-45c7-a63b-8f7c9eda5838,8.33,13.37
676,36081049202,f8be521d-a1fe-45c7-a63b-8f7c9eda5838,2.72,10.69
677,36081049301,35babeb8-5b85-471c-a34d-2216603fc60a,8.82,15.12
