GEOID,FP_tt,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005025500,4.43,4.43,4.43,1.0,42218,65437,7728,0.2629,0.2988,0.242,107246.0,Bronx,-41809.0,1,1
36005025600,4.87,4.87,4.87,1.0,50980,141417,1464,0.6742,0.0821,0.141,107246.0,Bronx,34171.0,0,1
36005025700,5.64,5.64,5.64,1.0,39784,91375,1793,0.3168,0.2002,0.131,107246.0,Bronx,-15871.0,1,1
36005026100,5.55,5.55,5.55,1.0,54648,84813,2114,0.4015,0.1346,0.059,107246.0,Bronx,-22433.0,1,1
36005026300,2.79,2.79,2.79,1.0,32379,103345,7124,0.2498,0.1916,0.193,107246.0,Bronx,-3901.0,1,1
36005026400,14.15,14.15,14.15,1.0,61014,85302,6643,0.8142,0.1269,0.099,107246.0,Bronx,-21944.0,1,1
36005026500,6.84,6.84,6.84,1.0,53177,75559,7505,0.3889,0.1851,0.154,107246.0,Bronx,-31687.0,1,1
36005026601,8.66,8.66,8.66,1.0,52619,87702,3305,0.5886,0.1189,0.132,107246.0,Bronx,-19544.0,1,1
36005026602,12.46,12.46,12.46,1.0,41528,92065,5033,0.3955,0.1868,0.202,107246.0,Bronx,-15181.0,1,1
36005026701,10.43,10.43,10.43,1.0,46123,95877,3639,0.1535,0.2132,0.148,123688.0,N_Manhattan,-27811.0,1,1
36005026702,8.28,8.28,8.28,1.0,46098,26860,8183,0.3987,0.3294,0.209,123688.0,N_Manhattan,-96828.0,1,1
36005026900,8.01,8.01,8.01,1.0,27670,72321,4072,0.2928,0.2407,0.191,107246.0,Bronx,-34925.0,1,1
36005027300,6.54,6.54,6.54,1.0,48459,75111,7798,0.3429,0.346,0.204,123688.0,N_Manhattan,-48577.0,1,1
36005027401,23.78,23.78,23.78,0.0,82273,115750,5148,0.9016,0.0371,0.06,107246.0,Bronx,8504.0,0,0
36005027402,23.71,23.71,23.71,0.0,94333,152829,3611,0.893,0.0712,0.084,107246.0,Bronx,45583.0,0,0
36005027700,1.19,1.19,1.19,1.0,31500,48825,4338,0.2322,0.2799,0.228,123688.0,N_Manhattan,-74863.0,1,1
36005027900,2.99,2.99,2.99,1.0,55406,120708,8486,0.5346,0.1602,0.171,123688.0,N_Manhattan,-2980.0,1,1
36005028100,8.89,8.89,8.89,1.0,56667,160568,3757,0.4352,0.0782,0.076,123688.0,N_Manhattan,36880.0,0,1
36005028300,4.66,4.66,4.66,1.0,22971,52237,2841,0.4972,0.4801,0.307,123688.0,N_Manhattan,-71451.0,1,1
36005028500,5.45,5.45,5.45,1.0,65625,77965,3763,0.6275,0.1306,0.128,123688.0,N_Manhattan,-45723.0,1,1
36005028600,9.69,9.69,9.69,1.0,84286,130643,960,0.8104,0.1542,0.136,107246.0,Bronx,23397.0,0,0
36005028700,7.15,7.15,7.15,1.0,70319,58177,3565,0.4996,0.0909,0.131,123688.0,N_Manhattan,-65511.0,1,0
36005028800,13.53,13.53,13.53,1.0,80682,80278,3144,0.8494,0.1549,0.144,107246.0,Bronx,-26968.0,1,0
36005028900,3.24,3.24,3.24,1.0,49284,74438,4530,0.3677,0.3136,0.175,123688.0,N_Manhattan,-49250.0,1,1
36005029301,15.07,15.07,15.07,1.0,133750,246875,1794,0.8412,0.0297,0.06,123688.0,N_Manhattan,123187.0,0,0
36005029302,8.01,8.01,8.01,1.0,116413,250001,6043,0.7904,0.0828,0.106,123688.0,N_Manhattan,126313.0,0,0
36005029500,10.5,10.5,10.5,1.0,94543,146541,4484,0.6389,0.1327,0.092,123688.0,N_Manhattan,22853.0,0,0
36005029600,9.19,9.19,9.19,1.0,51932,139063,1947,0.519,0.0866,0.172,107246.0,Bronx,31817.0,0,1
36005029700,10.92,10.92,10.92,1.0,104318,193824,4122,0.6978,0.0367,0.104,123688.0,N_Manhattan,70136.0,0,0
36005030000,4.63,4.63,4.63,1.0,72568,103000,6612,0.6944,0.1069,0.141,107246.0,Bronx,-4246.0,1,0
36005030100,12.81,12.81,12.81,1.0,82554,135750,1578,0.7007,0.0809,0.085,123688.0,N_Manhattan,12062.0,0,0
36005030201,11.97,11.97,11.97,1.0,60773,146541,3912,0.469,0.0846,0.052,107246.0,Bronx,39295.0,0,1
