GEOID,Mo_period_1_tt,Mo_period_2_tt,Mo_period_3_tt,Mo_period_4_tt,Tu_period_1_tt,Tu_period_2_tt,Tu_period_3_tt,Tu_period_4_tt,We_period_1_tt,We_period_2_tt,We_period_3_tt,We_period_4_tt,Th_period_1_tt,Th_period_2_tt,Th_period_3_tt,Th_period_4_tt,Fr_period_1_tt,Fr_period_2_tt,Fr_period_3_tt,Fr_period_4_tt,Sa_period_1_tt,Sa_period_2_tt,Sa_period_3_tt,Sa_period_4_tt,Su_period_1_tt,Su_period_2_tt,Su_period_3_tt,Su_period_4_tt,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36081036800,21.06,18.89,14.52,92.92,25.21,16.49,16.9,16.5,13.94,6.95,7.11,9.77,24.44,8.25,8.31,34.1,22.01,15.63,17.32,35.65,24.48,10.95,22.2,51.29,33.75,23.39,15.0,129.32,6.95,26.298214285714284,0.5357142857142857,86293,140833,2692,0.8038,0.0713,0.019,115496.0,Queens,25337.0,0,0
36081037100,33.04,21.73,32.66,59.22,11.48,9.46,13.44,13.19,7.43,7.0,9.94,11.41,15.01,23.97,26.79,56.62,7.43,7.0,22.91,59.24,26.0,6.65,14.49,14.18,57.81,30.12,63.65,62.91,6.65,25.884999999999998,0.5,64433,128824,1289,0.9118,0.0683,0.046,115496.0,Queens,13328.0,0,1
36081037300,35.37,23.5,33.9,69.84,9.14,11.35,11.22,11.03,4.69,4.42,11.39,13.06,18.11,24.8,28.36,62.49,4.69,4.42,25.31,65.88,27.22,10.47,15.94,15.58,63.99,32.8,73.23,72.7,4.42,28.032142857142865,0.5,61042,75500,2293,0.64,0.1335,0.103,115496.0,Queens,-39996.0,1,1
36081037501,35.09,14.76,33.94,75.13,15.13,14.79,10.97,10.83,17.89,13.42,6.34,6.19,22.01,18.99,19.52,62.95,17.89,16.77,26.42,61.78,11.44,19.58,11.9,11.74,66.01,31.99,75.8,75.33,6.19,28.735714285714288,0.6071428571428571,58179,49800,1600,0.3866,0.1713,0.125,115496.0,Queens,-65696.0,1,1
36081037502,40.42,15.65,39.57,71.27,16.02,6.95,16.71,16.53,13.7,14.39,5.51,5.33,15.81,20.62,20.5,62.16,13.7,14.39,20.11,66.07,18.15,15.42,10.38,10.21,70.08,37.69,71.12,70.86,5.33,28.547142857142855,0.5714285714285714,61673,95593,2710,0.4763,0.1275,0.09,115496.0,Queens,-19903.0,1,1
36081037600,27.88,17.7,21.47,98.79,32.49,17.07,23.28,23.23,12.36,9.8,9.74,16.88,19.08,15.49,15.48,41.05,19.06,17.24,11.47,28.83,17.77,3.74,29.64,57.42,40.3,22.04,12.7,136.02,3.74,28.500714285714285,0.5357142857142857,108902,133702,6794,0.7819,0.0752,0.005,115496.0,Queens,18206.0,0,0
36081037700,41.59,19.27,40.82,73.63,14.09,2.92,15.07,14.88,10.7,10.94,2.95,2.88,16.27,23.98,24.03,65.41,10.7,10.94,20.18,69.36,21.8,11.97,9.02,8.86,71.79,37.63,73.54,73.29,2.88,28.518214285714283,0.5357142857142857,75781,117460,4141,0.4492,0.1269,0.09,115496.0,Queens,1964.0,0,0
36081037900,41.85,22.26,39.63,79.47,9.36,7.83,10.31,10.15,6.59,6.48,7.99,8.04,20.73,26.49,26.88,70.66,6.59,6.48,24.36,72.64,25.02,13.84,9.95,9.82,72.85,36.38,80.25,80.12,6.48,29.75071428571429,0.4642857142857143,70131,70878,7012,0.3251,0.198,0.116,115496.0,Queens,-44618.0,1,0
36081038100,32.96,21.98,30.93,70.87,4.79,12.1,9.73,9.47,5.61,5.34,12.23,12.91,20.71,22.26,26.21,58.9,5.61,5.34,24.94,63.47,25.62,15.39,14.25,14.0,60.55,30.24,73.86,73.52,4.79,27.27821428571428,0.4642857142857143,71721,90288,7058,0.6507,0.1334,0.063,115496.0,Queens,-25208.0,1,0
36081038400,30.9,20.47,24.65,95.26,35.13,16.78,26.3,26.16,13.89,12.32,12.23,13.14,15.95,15.26,14.15,42.03,18.67,18.05,6.08,21.94,11.89,5.74,32.71,58.05,41.45,21.6,13.71,128.53,5.74,28.322857142857146,0.5,92118,91191,2490,0.916,0.1009,0.027,115496.0,Queens,-24305.0,1,0
