GEOID,Mo_period_1_tt,Mo_period_2_tt,Mo_period_3_tt,Mo_period_4_tt,Tu_period_1_tt,Tu_period_2_tt,Tu_period_3_tt,Tu_period_4_tt,We_period_1_tt,We_period_2_tt,We_period_3_tt,We_period_4_tt,Th_period_1_tt,Th_period_2_tt,Th_period_3_tt,Th_period_4_tt,Fr_period_1_tt,Fr_period_2_tt,Fr_period_3_tt,Fr_period_4_tt,Sa_period_1_tt,Sa_period_2_tt,Sa_period_3_tt,Sa_period_4_tt,Su_period_1_tt,Su_period_2_tt,Su_period_3_tt,Su_period_4_tt,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36047111000,15.17,15.17,15.17,32.86,15.17,12.92,6.75,6.75,15.17,6.75,12.14,12.14,15.17,15.17,15.17,29.53,8.21,8.21,15.17,31.91,16.19,9.56,20.23,20.23,62.61,45.89,66.92,167.66,6.75,25.499642857142856,0.6785714285714286,28365,43965,3120,0.1694,0.2311,0.21,113549.0,BK_rest,-69584.0,1,1
36047111600,22.22,22.22,22.22,39.85,10.82,10.82,11.99,11.99,22.22,11.99,7.03,7.03,22.22,22.22,17.63,30.78,13.26,13.26,22.22,30.78,12.24,9.97,17.0,17.0,66.35,52.57,74.25,170.24,7.03,28.29964285714286,0.5,72472,78125,3617,0.6319,0.1453,0.075,113549.0,BK_rest,-35424.0,1,0
36047111800,28.6,28.6,28.6,41.49,8.72,8.72,11.21,11.21,22.22,11.79,2.15,2.15,28.6,19.93,10.46,25.07,14.98,9.19,25.07,25.07,6.01,6.01,10.69,10.69,63.67,51.28,76.05,166.15,2.15,26.94214285714286,0.5357142857142857,75299,116713,3953,0.3563,0.2058,0.119,113549.0,BK_rest,3164.0,0,1
36047112000,24.07,24.07,24.07,35.67,11.32,9.27,8.31,8.31,24.07,8.31,3.92,3.92,24.07,21.88,13.58,24.33,9.03,9.03,24.07,24.33,7.18,6.57,11.4,11.4,59.82,47.84,70.24,163.47,3.92,25.48392857142857,0.5,54706,84794,3353,0.3782,0.2935,0.135,113549.0,BK_rest,-28755.0,1,1
36047112200,19.15,19.15,19.15,28.6,15.49,6.12,0.97,0.97,19.15,0.97,11.34,11.34,19.15,19.15,19.15,22.63,1.77,1.77,19.15,25.83,13.24,3.61,16.07,16.07,55.92,41.13,63.13,160.78,0.97,23.248214285714287,0.75,22734,35237,2946,0.4599,0.3962,0.247,113549.0,BK_rest,-78312.0,1,1
36047112400,21.06,21.06,22.6,28.37,12.62,2.58,4.33,4.33,22.6,4.33,11.0,11.0,22.6,16.75,17.45,19.21,3.59,3.59,22.22,22.22,11.39,0.95,13.35,13.35,53.25,40.37,62.91,157.74,0.95,23.100714285714286,0.5714285714285714,44875,55366,3938,0.4755,0.2387,0.11,113549.0,BK_rest,-58183.0,1,1
36047112600,14.19,14.19,21.58,21.58,17.45,6.04,8.05,8.05,22.6,8.05,17.88,17.88,22.6,14.86,22.6,16.81,6.6,6.6,20.65,23.19,5.99,5.99,18.41,18.41,47.96,33.48,56.07,153.19,5.99,23.248214285714287,0.6071428571428571,49311,76432,4029,0.2782,0.289,0.17,113549.0,BK_rest,-37117.0,1,1
36047112800,14.67,14.67,17.87,21.15,17.87,9.02,6.82,6.82,17.87,6.82,17.87,18.75,17.87,15.73,17.87,21.57,5.87,5.87,17.87,27.84,10.18,5.13,21.53,21.53,51.31,33.91,55.63,156.88,5.13,23.45678571428571,0.6785714285714286,40063,159868,4024,0.3261,0.3951,0.233,113549.0,BK_rest,46319.0,0,1
36047113000,9.77,9.77,16.58,16.58,20.93,10.92,11.49,11.49,17.83,10.92,20.93,22.82,17.83,10.92,20.93,19.68,9.77,9.77,15.65,25.24,7.73,4.91,23.94,23.94,46.89,29.09,51.15,152.61,4.91,23.217142857142854,0.6071428571428571,47700,108603,4087,0.4122,0.1916,0.14,113549.0,BK_rest,-4946.0,1,1
36047113200,7.13,7.13,13.6,13.6,21.7,8.08,14.38,13.6,15.01,8.08,21.7,25.2,15.01,8.08,21.7,20.76,7.13,7.13,12.68,23.55,9.13,5.5,26.01,26.75,45.5,26.26,48.16,151.29,5.5,22.280357142857138,0.5714285714285714,50149,112768,2315,0.4964,0.1196,0.049,113549.0,BK_rest,-781.0,1,1
