GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005003800,23.67,20.24,23.69,28.0,22.04,17.07,16.94,30.71,12.1,17.39,17.29,25.99,22.36,17.15,16.94,25.7,19.27,14.46,17.35,21.95,22.87,15.05,24.42,44.92,26.05,25.05,40.71,43.4,12.1,23.313571428571425,0.39285714285714285,83295,116146,1313,0.7638,0.1346,0.109,107246.0,Bronx,8900.0,0,0
36005003900,16.81,13.89,15.17,23.4,16.79,11.51,13.87,22.05,15.86,9.28,14.56,18.13,15.68,10.52,14.33,20.04,17.1,10.85,12.82,22.53,9.85,11.76,18.36,26.12,19.95,23.25,20.71,23.74,9.28,16.747500000000002,0.7142857142857143,20049,31075,6710,0.2761,0.3981,0.255,107246.0,Bronx,-76171.0,1,1
36005004001,24.15,21.4,24.0,28.34,24.15,16.47,20.93,34.15,16.5,16.92,18.32,28.85,20.95,17.63,18.54,28.98,16.65,14.81,13.51,21.25,24.62,18.23,27.08,46.12,25.46,21.15,40.88,46.32,13.51,24.155714285714286,0.35714285714285715,64087,99334,1574,0.7324,0.1925,0.132,107246.0,Bronx,-7912.0,1,1
36005004100,18.22,13.31,15.09,25.3,16.41,10.23,13.1,24.89,17.67,8.49,13.79,19.93,15.39,10.02,14.15,21.84,18.22,10.67,12.07,24.0,10.29,9.11,19.5,28.6,23.03,26.51,23.33,26.53,8.49,17.488928571428577,0.6785714285714286,20551,63182,5798,0.3132,0.4852,0.307,107246.0,Bronx,-44064.0,1,1
36005004200,23.24,20.69,22.78,27.46,22.15,16.01,18.08,30.66,12.62,15.68,16.5,25.94,21.31,17.23,18.08,25.65,17.51,13.96,14.08,20.37,22.85,13.98,24.63,44.63,21.49,19.25,39.33,43.08,12.62,22.472857142857144,0.42857142857142855,57250,89758,7803,0.535,0.2366,0.141,107246.0,Bronx,-17488.0,1,1
36005004300,13.1,9.98,11.37,24.8,13.73,8.08,9.09,23.64,13.27,6.1,9.78,17.78,11.09,6.43,13.11,19.69,13.1,7.16,8.75,24.46,10.35,6.44,15.29,27.81,22.12,26.36,24.72,27.02,6.1,15.165000000000001,0.7142857142857143,25534,68534,5527,0.2446,0.3553,0.254,107246.0,Bronx,-38712.0,1,1
36005004400,20.11,16.1,19.72,23.52,17.83,14.81,15.74,27.65,13.18,12.72,14.51,22.71,19.53,15.57,15.74,22.64,16.05,12.68,13.06,18.56,20.21,12.52,18.61,40.89,24.98,24.78,36.58,39.16,12.52,20.36285714285714,0.6071428571428571,15750,15451,4551,0.31,0.5072,0.327,107246.0,Bronx,-91795.0,1,1
36005004600,19.76,17.99,19.87,25.88,18.27,15.55,15.44,27.15,13.61,15.61,15.59,22.43,18.45,16.3,16.22,22.14,17.57,13.92,15.68,20.45,19.05,13.86,19.28,40.07,24.17,25.5,35.45,38.27,13.61,20.840357142857147,0.6428571428571429,29145,45174,1826,0.3663,0.5043,0.279,107246.0,Bronx,-62072.0,1,1
36005004800,16.9,13.13,16.26,20.95,14.62,12.28,13.63,25.16,10.81,8.41,10.34,20.14,16.32,13.01,13.63,20.76,12.55,8.83,9.02,16.0,17.36,9.06,13.99,38.01,24.29,25.48,33.38,36.28,8.41,17.521428571428572,0.6785714285714286,33500,87969,4464,0.3098,0.2607,0.167,107246.0,Bronx,-19277.0,1,1
36005005001,19.71,14.55,18.87,24.46,16.75,16.82,16.94,28.14,15.23,9.1,11.57,23.15,18.4,17.15,16.94,22.98,16.05,10.63,10.92,19.51,20.03,10.76,14.14,39.71,28.57,30.07,35.03,38.03,9.1,20.150357142857143,0.6428571428571429,28353,47727,4304,0.3389,0.5078,0.295,107246.0,Bronx,-59519.0,1,1
36005005002,15.79,10.25,14.23,19.42,12.59,11.78,12.3,23.13,11.54,6.38,8.86,18.11,14.26,12.85,12.3,17.94,11.9,7.91,8.2,14.48,15.93,8.21,11.4,34.87,25.15,26.29,29.97,32.97,6.38,16.03607142857143,0.7857142857142857,34013,62969,6393,0.2271,0.3928,0.255,107246.0,Bronx,-44277.0,1,1
36005005100,13.88,10.1,13.32,21.89,15.53,8.36,13.86,20.82,13.28,9.9,14.55,16.86,15.27,7.15,14.25,18.68,14.33,8.71,11.66,21.64,11.44,12.58,15.91,25.13,21.57,23.22,19.79,22.22,7.15,15.567857142857147,0.75,19731,16250,6087,0.1391,0.5366,0.337,107246.0,Bronx,-90996.0,1,1
36005005200,17.62,14.2,18.22,24.9,15.0,14.84,14.59,26.99,15.0,9.9,11.07,22.26,16.31,15.15,15.17,21.98,15.59,10.94,11.07,19.96,17.94,10.96,13.21,38.61,27.02,30.65,34.53,37.87,9.9,19.34107142857142,0.6785714285714286,21397,33165,1833,0.2097,0.4163,0.215,107246.0,Bronx,-74081.0,1,1
36005005300,19.59,19.61,20.46,35.43,16.66,17.51,18.29,34.35,16.82,17.74,16.21,29.11,16.82,16.96,14.3,33.0,18.56,18.22,18.24,35.77,20.01,19.76,23.86,34.42,31.99,29.84,32.39,39.99,14.3,23.7825,0.5357142857142857,20449,28114,5472,0.1887,0.5549,0.259,107246.0,Bronx,-79132.0,1,1
36005005400,16.39,9.05,14.83,20.02,13.26,12.45,12.96,23.73,11.78,5.38,9.72,18.71,13.78,12.95,12.96,18.61,12.5,8.72,9.0,15.08,16.1,9.14,13.41,36.61,26.9,28.03,31.71,34.72,5.38,16.732142857142854,0.75,45625,24427,5638,0.3209,0.27,0.181,107246.0,Bronx,-82819.0,1,1
36005005600,16.14,9.5,14.42,21.39,14.56,13.75,14.13,25.09,12.12,5.83,10.83,20.08,11.19,11.18,14.13,18.73,13.16,9.57,9.78,15.5,14.93,10.89,16.62,38.82,26.58,26.26,33.61,38.05,5.83,17.387142857142855,0.7142857142857143,40341,58516,2168,0.3952,0.3196,0.213,107246.0,Bronx,-48730.0,1,1
