GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36047119800,24.88,23.3,26.79,96.57,17.27,15.26,21.94,28.28,24.19,14.18,15.62,17.04,26.79,16.85,17.73,14.98,24.44,21.79,19.97,24.09,18.24,16.34,34.24,44.19,96.74,45.37,93.57,182.06,14.18,36.525357142857146,0.39285714285714285,38854,60223,3664,0.4523,0.3507,0.166,113549.0,BK_rest,-53326.0,1,1
36047120000,53.25,52.78,56.44,121.01,26.05,20.98,32.18,38.23,41.32,12.95,17.24,17.24,52.79,35.28,33.93,46.81,45.17,33.37,37.7,41.51,22.63,17.36,48.14,48.14,95.17,70.02,120.25,201.82,12.95,51.42,0.14285714285714285,34522,116625,2769,0.3031,0.2045,0.125,113549.0,BK_rest,3076.0,0,1
36047120200,56.91,56.91,59.34,124.67,28.65,24.67,32.74,41.92,43.71,15.37,19.81,19.81,54.99,37.3,36.5,48.27,48.99,37.1,37.6,41.11,23.36,21.05,47.6,47.6,92.66,72.4,123.33,202.93,15.37,53.47500000000001,0.10714285714285714,80170,124263,2160,0.5222,0.1514,0.132,113549.0,BK_rest,10714.0,0,0
36047120801,49.79,46.37,52.98,117.62,23.26,16.93,30.6,34.62,39.12,15.34,17.19,17.19,51.46,34.78,33.2,49.72,38.76,29.3,38.37,45.26,22.53,16.97,49.4,51.8,101.02,69.98,117.16,204.73,15.34,50.551785714285714,0.17857142857142858,69235,107314,5672,0.5113,0.0962,0.058,113549.0,BK_rest,-6235.0,1,0
36047120802,58.08,56.31,61.27,125.93,32.16,25.81,37.28,43.21,47.4,19.14,23.51,23.51,58.91,41.4,40.04,54.38,48.71,38.2,43.02,48.69,28.67,23.52,55.46,55.46,101.99,76.3,125.23,209.39,19.14,57.24928571428571,0.03571428571428571,30707,47595,4556,0.3355,0.3205,0.15,113549.0,BK_rest,-65954.0,1,1
36047120803,57.99,56.34,60.92,125.6,30.12,25.81,35.62,43.74,45.78,21.82,25.49,25.49,58.12,41.18,39.83,56.28,48.7,38.1,40.47,48.66,29.62,26.65,55.43,55.43,99.32,78.57,124.27,211.26,21.82,57.37892857142857,0.0,29331,45463,1916,0.267,0.1173,0.075,113549.0,BK_rest,-68086.0,1,1
36047121000,45.35,40.99,48.53,112.61,22.77,15.49,26.06,29.03,36.65,16.09,15.41,15.41,47.85,32.08,30.21,46.94,33.35,24.54,38.39,45.09,18.71,13.14,46.32,52.79,103.37,67.61,110.68,205.26,13.14,47.88285714285714,0.21428571428571427,14494,2499,4237,0.0293,0.5336,0.3,113549.0,BK_rest,-111050.0,1,1
36047121400,52.29,47.37,53.01,120.47,24.51,20.95,31.62,37.95,40.22,21.61,24.43,24.43,52.55,39.13,37.44,58.45,39.73,31.72,41.27,52.53,30.34,23.49,51.65,59.28,106.89,77.35,116.2,213.63,20.95,54.66107142857144,0.0,20600,30417,4720,0.1933,0.4856,0.192,113549.0,BK_rest,-83132.0,1,1
36047122000,60.12,55.18,57.85,129.25,34.06,33.92,40.97,51.58,48.69,34.18,33.46,36.75,60.8,47.25,45.91,70.37,49.11,41.12,46.92,62.82,40.92,32.86,60.91,69.76,114.16,87.84,128.44,225.35,32.86,64.30535714285715,0.0,48036,74455,6741,0.4749,0.2074,0.101,113549.0,BK_rest,-39094.0,1,1
36047123700,23.21,14.86,19.64,61.99,19.82,17.02,17.5,29.89,15.19,14.28,18.26,35.51,18.36,14.86,15.4,40.53,22.58,17.99,21.29,30.67,24.56,17.86,33.67,52.93,72.5,48.94,53.88,119.81,14.28,31.892857142857142,0.4642857142857143,45333,70266,8372,0.3997,0.5237,0.239,113549.0,BK_rest,-43283.0,1,1
