GEOID,Mo_period_1_tt,Mo_period_2_tt,Mo_period_3_tt,Mo_period_4_tt,Tu_period_1_tt,Tu_period_2_tt,Tu_period_3_tt,Tu_period_4_tt,We_period_1_tt,We_period_2_tt,We_period_3_tt,We_period_4_tt,Th_period_1_tt,Th_period_2_tt,Th_period_3_tt,Th_period_4_tt,Fr_period_1_tt,Fr_period_2_tt,Fr_period_3_tt,Fr_period_4_tt,Sa_period_1_tt,Sa_period_2_tt,Sa_period_3_tt,Sa_period_4_tt,Su_period_1_tt,Su_period_2_tt,Su_period_3_tt,Su_period_4_tt,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36081038100,15.95,10.22,14.53,36.24,1.93,4.04,3.35,3.35,1.34,1.34,4.04,4.8,8.87,10.16,12.81,33.3,1.34,1.34,10.77,35.4,10.5,4.66,5.74,5.74,33.23,13.4,35.02,35.02,1.34,12.801071428571428,0.7857142857142857,71721,90288,7058,0.6507,0.1334,0.063,115496.0,Queens,-25208.0,1,0
36081038400,16.0,10.93,12.3,59.02,18.21,8.45,13.85,13.85,6.59,6.17,6.17,6.38,7.52,7.52,6.65,22.41,8.96,8.96,2.03,11.02,5.52,2.28,17.15,31.71,22.7,11.02,6.59,80.09,2.03,15.358928571428569,0.8214285714285714,92118,91191,2490,0.916,0.1009,0.027,115496.0,Queens,-24305.0,1,0
36081039400,12.03,8.05,8.32,55.04,14.23,8.44,9.87,9.87,4.58,2.18,2.18,7.9,9.12,7.2,6.67,18.44,8.44,8.44,6.1,15.1,9.59,1.79,13.63,27.73,18.73,11.08,6.28,76.12,1.79,13.826785714285714,0.8928571428571429,98083,105375,3180,0.7674,0.1853,0.059,115496.0,Queens,-10121.0,1,0
36081039800,10.31,5.45,6.61,53.33,12.52,6.39,8.16,8.16,1.59,1.18,2.55,6.18,7.19,6.61,7.9,16.33,6.39,6.39,6.91,13.97,8.09,5.05,11.33,25.82,16.62,13.97,9.43,74.05,1.18,12.802857142857146,0.8928571428571429,113194,155114,1792,0.8343,0.0815,0.0,115496.0,Queens,39618.0,0,0
36081039901,13.56,10.16,12.13,37.95,2.9,7.73,2.68,2.68,5.03,5.03,4.14,4.14,7.81,7.81,12.13,30.95,5.03,5.03,12.13,33.05,8.98,8.36,8.11,8.11,30.88,11.04,36.73,36.73,2.68,13.250357142857146,0.7857142857142857,87369,135421,2560,0.699,0.0178,0.053,115496.0,Queens,19925.0,0,0
36081039902,13.83,10.39,12.41,38.17,1.73,6.56,2.96,2.96,3.86,3.86,4.72,4.72,9.29,9.29,12.41,32.43,3.86,3.86,12.41,34.53,10.12,7.18,8.26,8.26,32.36,12.53,36.96,36.96,1.73,13.459999999999997,0.7857142857142857,51118,79232,1700,0.3298,0.3032,0.17,115496.0,Queens,-36264.0,1,1
36081040000,11.94,3.61,8.24,54.95,13.16,4.62,9.78,9.78,0.88,2.04,4.17,6.98,5.43,5.43,6.14,15.34,4.62,4.62,7.91,12.3,7.13,3.78,10.34,24.82,15.62,12.3,10.95,73.06,0.88,12.497857142857143,0.8928571428571429,107188,152589,1704,0.8244,0.0514,0.001,115496.0,Queens,37093.0,0,0
36081040101,14.59,8.09,14.21,35.88,2.8,6.38,0.61,0.61,3.68,3.68,2.05,2.05,6.2,6.2,10.69,29.34,3.68,3.68,12.75,31.44,6.9,7.25,6.04,6.04,29.27,9.44,34.66,34.66,0.61,11.888214285714286,0.7857142857142857,54424,84357,3159,0.5181,0.101,0.094,115496.0,Queens,-31139.0,1,1
36081040102,14.77,9.74,13.34,37.51,0.48,5.38,2.58,2.58,2.68,2.68,4.34,4.34,8.94,8.94,12.33,32.08,2.68,2.68,12.04,34.18,9.74,6.24,7.01,7.01,32.01,12.18,36.29,36.29,0.48,12.895000000000001,0.7857142857142857,65954,65550,5172,0.3804,0.1806,0.133,115496.0,Queens,-49946.0,1,1
36081040200,11.04,2.36,9.35,55.06,11.85,3.91,9.03,10.88,2.37,2.58,5.29,7.04,5.28,5.28,6.15,14.03,3.91,3.91,9.4,12.1,8.62,2.36,9.03,23.51,14.32,12.1,12.24,71.75,2.36,12.3125,0.8928571428571429,120833,187291,1706,0.8927,0.0774,0.0,115496.0,Queens,71795.0,0,0
36081040301,15.11,7.49,15.11,35.28,4.39,5.94,2.2,2.2,5.27,4.8,1.06,1.06,6.72,6.72,10.09,29.85,5.27,5.27,12.15,31.34,5.91,7.76,5.44,5.44,29.78,9.95,34.06,34.06,1.06,12.132857142857144,0.7857142857142857,32339,31407,3141,0.3217,0.1175,0.125,115496.0,Queens,-84089.0,1,1
36081040302,17.07,7.65,15.64,35.44,1.81,4.67,2.31,2.31,2.51,2.51,2.47,2.47,9.04,9.04,10.25,32.17,2.51,2.51,11.15,33.3,7.87,5.71,5.54,5.54,32.1,12.27,34.22,34.22,1.81,12.296428571428569,0.7857142857142857,70192,108797,4401,0.4463,0.1197,0.093,115496.0,Queens,-6699.0,1,0
36081040400,8.44,1.79,8.28,52.46,9.26,3.19,6.43,8.29,4.83,2.83,6.39,6.39,4.63,4.63,5.5,11.43,3.19,3.19,9.6,10.67,9.99,1.79,6.43,20.92,11.72,10.67,14.61,69.15,1.79,11.310714285714283,0.8928571428571429,60625,134896,4343,0.6926,0.105,0.047,115496.0,Queens,19400.0,0,1
36081040502,16.79,7.02,15.63,34.8,2.82,5.13,2.02,2.02,3.7,3.7,1.84,1.84,8.4,8.4,9.61,31.54,3.7,3.7,11.52,32.66,7.24,6.47,4.91,4.91,31.47,11.64,33.59,33.59,1.84,12.16642857142857,0.7857142857142857,82011,66442,2301,0.4303,0.1278,0.1,115496.0,Queens,-49054.0,1,0
36081040701,16.15,6.67,16.0,34.46,4.58,5.12,2.39,2.39,5.47,4.62,0.67,0.67,8.28,8.28,9.27,31.41,5.47,5.47,11.33,31.16,5.73,7.04,4.62,4.62,31.34,11.51,33.24,33.24,0.67,12.185714285714285,0.7857142857142857,73608,80685,3881,0.3876,0.2145,0.158,115496.0,Queens,-34811.0,1,1
36081040702,17.0,5.61,17.0,33.39,3.99,3.24,3.8,3.8,4.7,4.7,2.85,2.85,7.92,8.2,8.2,31.26,4.7,4.7,9.6,32.0,6.07,5.12,2.14,2.14,33.25,13.42,32.18,32.18,2.14,12.00035714285714,0.7857142857142857,91806,87159,4793,0.4733,0.1141,0.094,115496.0,Queens,-28337.0,1,0
