GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005004001,34.24,28.7,30.95,53.19,32.17,17.29,25.72,75.03,16.61,21.26,19.76,53.66,31.91,22.73,22.73,55.91,19.05,15.58,12.72,42.18,39.42,18.41,35.27,100.87,56.47,38.86,80.66,138.05,12.72,40.692857142857136,0.25,64087,99334,1574,0.7324,0.1925,0.132,107246.0,Bronx,-7912.0,1,1
36005004100,19.01,11.16,13.09,51.05,16.84,7.3,10.9,36.82,19.1,5.58,11.47,30.31,15.43,6.74,15.49,38.85,17.81,7.84,10.53,51.11,9.8,8.0,18.68,53.69,35.34,37.64,35.98,69.74,5.58,23.76071428571429,0.6428571428571429,20551,63182,5798,0.3132,0.4852,0.307,107246.0,Bronx,-44064.0,1,1
36005004200,33.0,24.27,29.05,53.6,27.36,17.31,21.25,71.45,14.29,18.66,18.66,47.35,27.36,22.35,22.35,52.83,23.35,16.11,17.31,41.85,40.15,17.41,33.95,96.78,54.32,41.48,81.32,131.15,14.29,39.15428571428572,0.25,57250,89758,7803,0.535,0.2366,0.141,107246.0,Bronx,-17488.0,1,1
36005004300,16.46,8.81,10.54,52.37,13.49,5.81,7.16,36.75,15.59,4.69,7.62,29.06,13.34,4.86,14.28,37.48,15.72,4.33,6.63,49.83,8.91,4.05,15.53,55.31,35.52,40.04,43.43,73.93,4.05,22.555,0.6428571428571429,25534,68534,5527,0.2446,0.3553,0.254,107246.0,Bronx,-38712.0,1,1
36005004400,28.27,19.37,24.17,50.44,24.54,16.56,20.04,60.1,15.13,15.06,16.76,41.87,23.32,20.59,20.59,47.82,18.16,13.85,14.07,37.74,33.96,15.44,28.32,94.92,52.74,40.01,77.28,129.13,13.85,35.723214285714285,0.32142857142857145,15750,15451,4551,0.31,0.5072,0.327,107246.0,Bronx,-91795.0,1,1
36005004600,28.83,18.92,24.32,51.97,21.37,18.58,17.86,58.45,14.73,16.05,16.95,42.7,21.37,17.86,17.86,46.73,19.5,14.99,16.63,39.31,34.33,16.77,25.62,91.79,51.83,43.59,78.65,123.26,14.73,35.386428571428574,0.42857142857142855,29145,45174,1826,0.3663,0.5043,0.279,107246.0,Bronx,-62072.0,1,1
36005004800,23.35,13.2,18.67,48.02,16.43,16.43,16.43,52.87,14.88,7.89,11.82,35.55,17.75,16.43,16.43,40.6,16.05,10.74,10.74,35.0,28.33,10.65,21.07,90.41,49.73,40.91,73.2,122.47,7.89,31.2875,0.5357142857142857,33500,87969,4464,0.3098,0.2607,0.167,107246.0,Bronx,-19277.0,1,1
36005005001,23.47,12.93,18.52,48.99,15.03,15.03,15.03,50.88,14.86,8.28,10.31,35.32,17.59,15.03,15.03,38.97,18.06,10.31,10.31,35.98,24.67,10.07,15.93,87.72,48.42,43.4,73.05,117.56,8.28,30.383928571428573,0.5714285714285714,28353,47727,4304,0.3389,0.5078,0.295,107246.0,Bronx,-59519.0,1,1
36005005002,22.11,11.58,17.17,47.66,14.15,14.15,14.15,49.93,12.67,5.8,8.37,33.17,16.25,14.15,14.15,37.66,16.43,8.37,8.37,34.74,24.54,8.13,15.2,88.27,48.18,41.68,71.28,119.19,5.8,29.196428571428573,0.5714285714285714,34013,62969,6393,0.2271,0.3928,0.255,107246.0,Bronx,-44277.0,1,1
36005005100,13.34,8.68,13.47,49.57,17.3,7.38,14.87,34.96,17.3,11.31,15.47,35.99,14.44,7.0,16.8,40.63,13.34,8.47,11.78,54.19,13.69,13.98,16.85,48.85,30.76,30.76,31.25,66.31,7.0,23.52642857142857,0.6428571428571429,19731,16250,6087,0.1391,0.5366,0.337,107246.0,Bronx,-90996.0,1,1
36005005200,18.7,12.69,17.84,49.03,13.39,13.39,13.39,48.06,12.74,8.53,9.9,33.16,14.78,13.39,13.39,36.17,15.79,9.84,9.9,36.13,21.85,9.81,13.61,85.52,46.69,44.36,65.8,114.09,8.53,28.64071428571429,0.6071428571428571,21397,33165,1833,0.2097,0.4163,0.215,107246.0,Bronx,-74081.0,1,1
36005005300,24.51,18.87,15.85,81.63,17.35,16.05,16.83,58.64,16.98,13.25,16.72,33.71,16.11,16.05,11.67,56.11,19.39,16.53,15.85,68.25,18.12,18.06,21.24,63.89,50.01,46.2,63.23,121.66,11.67,34.02714285714286,0.5714285714285714,20449,28114,5472,0.1887,0.5549,0.259,107246.0,Bronx,-79132.0,1,1
36005005400,20.88,10.36,15.91,46.58,13.45,13.45,13.45,48.81,9.92,4.88,7.96,30.87,14.98,11.61,13.45,36.22,16.41,7.96,7.96,33.94,23.22,7.97,17.09,88.58,47.96,40.19,69.2,120.48,4.88,28.347857142857144,0.5714285714285714,45625,24427,5638,0.3209,0.27,0.181,107246.0,Bronx,-82819.0,1,1
36005005600,19.89,10.33,15.02,45.54,14.06,13.08,14.06,49.09,9.11,4.78,8.52,29.49,11.89,9.68,14.06,36.24,16.16,8.52,8.52,33.28,20.45,8.86,17.42,90.06,48.84,38.2,67.85,123.64,4.78,28.094285714285718,0.6071428571428571,40341,58516,2168,0.3952,0.3196,0.213,107246.0,Bronx,-48730.0,1,1
36005005902,11.98,10.05,11.16,56.12,9.15,7.54,10.04,35.16,10.35,8.6,11.81,35.38,16.27,10.56,15.61,38.1,7.05,7.05,10.56,53.13,8.71,4.92,7.87,53.27,27.84,38.11,45.52,82.63,4.92,23.01928571428571,0.6428571428571429,44917,72989,2730,0.314,0.1612,0.118,107246.0,Bronx,-34257.0,1,1
36005006000,21.05,12.58,12.93,46.72,15.62,13.32,15.29,52.94,12.69,10.74,13.46,30.28,9.87,10.49,14.04,39.9,19.24,13.46,13.46,35.72,18.43,13.99,19.21,93.19,51.52,35.05,65.76,129.84,9.87,30.02821428571428,0.6071428571428571,34239,49526,1295,0.4211,0.332,0.23,107246.0,Bronx,-57720.0,1,1
36005006100,11.03,8.42,9.43,55.05,9.91,7.95,9.25,34.93,10.04,6.83,9.66,34.75,14.02,8.4,14.16,37.63,6.85,6.85,8.82,52.34,8.44,3.5,7.94,53.18,28.47,37.77,44.77,80.67,3.5,22.180714285714284,0.6428571428571429,60685,88558,3955,0.3817,0.1166,0.076,107246.0,Bronx,-18688.0,1,1
