GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36047092800,8.01,6.14,5.92,19.82,7.91,5.7,7.93,9.86,6.49,4.62,7.71,12.92,5.76,4.26,8.24,15.2,7.65,5.22,6.0,13.97,7.51,2.67,6.51,16.22,31.93,8.9,16.83,50.71,2.67,11.093214285714284,0.9285714285714286,69149,125250,2745,0.6631,0.0798,0.032,113549.0,BK_rest,11701.0,0,1
36047093000,7.55,6.85,6.0,20.02,6.72,6.17,6.64,11.33,6.03,5.48,7.01,13.31,5.61,5.56,6.95,16.76,7.55,5.79,6.39,15.52,7.67,1.89,5.56,16.92,32.63,8.08,15.28,51.46,1.89,11.16892857142857,0.8928571428571429,82566,127222,3046,0.7047,0.0912,0.011,113549.0,BK_rest,13673.0,0,0
36047093200,10.13,3.1,6.28,21.36,6.14,2.97,6.05,15.99,8.09,5.28,4.09,15.31,6.14,6.14,6.07,21.32,9.2,4.08,7.6,19.32,5.3,3.19,6.4,20.92,35.83,5.08,10.58,54.66,2.97,11.665000000000001,0.8214285714285714,34271,123523,1537,0.4218,0.2004,0.089,113549.0,BK_rest,9974.0,0,1
36047093400,8.45,6.34,6.59,20.31,6.38,5.87,6.07,12.61,6.99,6.01,7.45,13.69,6.01,6.01,6.38,18.09,8.45,5.66,7.11,16.32,7.18,3.33,6.57,17.69,32.57,7.46,14.53,51.4,3.33,11.482857142857142,0.8928571428571429,79595,123372,2585,0.7275,0.0886,0.02,113549.0,BK_rest,9823.0,0,0
36047093600,8.42,5.94,6.55,20.03,5.95,5.55,5.96,12.49,6.95,5.75,7.33,13.42,5.75,5.75,6.35,17.96,8.42,5.42,6.82,16.19,6.94,3.21,6.16,17.37,32.44,7.04,13.89,51.27,3.21,11.261428571428569,0.8928571428571429,68638,102417,1679,0.6011,0.0578,0.0,113549.0,BK_rest,-11132.0,1,1
36047093800,9.37,6.43,7.66,19.68,5.38,3.89,5.42,12.39,8.26,4.89,8.38,13.23,4.89,4.89,6.99,17.11,8.77,6.15,5.67,15.34,7.19,3.48,5.34,16.65,31.57,6.52,13.24,50.39,3.48,11.041785714285714,0.9285714285714286,83153,101118,2736,0.5707,0.0866,0.047,113549.0,BK_rest,-12431.0,1,0
36047094401,7.68,3.83,4.73,21.43,6.48,3.83,4.71,15.58,6.19,5.74,3.56,14.45,6.19,6.19,4.73,21.4,7.68,3.17,7.46,19.21,5.68,3.86,6.84,21.17,36.82,5.56,13.25,55.64,3.17,11.537857142857144,0.8214285714285714,75000,236193,3330,0.6845,0.1492,0.05,113549.0,BK_rest,122644.0,0,0
36047094402,7.28,6.06,4.01,22.48,7.77,6.35,4.01,17.18,7.13,6.06,4.01,15.51,7.13,6.59,4.01,22.94,8.48,3.84,5.21,20.0,5.35,3.64,6.91,23.1,38.48,6.02,15.2,57.3,3.64,12.216071428571427,0.7857142857142857,30916,103654,3314,0.261,0.309,0.184,113549.0,BK_rest,-9895.0,1,1
36047094600,8.25,4.4,6.55,20.48,6.27,4.25,5.64,13.73,6.76,6.21,6.06,13.64,6.21,6.21,6.11,19.12,8.25,4.17,7.27,17.43,6.42,4.24,6.86,18.54,33.69,6.22,12.98,52.51,4.17,11.37392857142857,0.8928571428571429,84595,93580,1888,0.7485,0.0493,0.0,113549.0,BK_rest,-19969.0,1,0
36047095000,6.69,5.25,3.86,22.31,7.18,6.07,3.86,16.81,6.54,5.25,3.86,15.27,6.54,6.53,3.86,22.74,7.66,3.43,4.5,19.76,5.82,2.6,6.56,22.34,37.78,6.48,15.65,56.6,2.6,11.85,0.8214285714285714,83846,121250,2751,0.5312,0.0859,0.056,113549.0,BK_rest,7701.0,0,0
36047095400,6.66,4.69,4.23,22.43,6.93,5.82,4.23,16.02,5.96,4.69,4.23,15.32,5.96,5.96,4.23,21.7,7.11,3.8,4.32,19.82,7.21,2.21,6.68,21.74,37.58,7.52,16.28,56.4,2.21,11.776071428571429,0.8214285714285714,96597,141538,4340,0.6125,0.0806,0.011,113549.0,BK_rest,27989.0,0,0
36047095600,6.65,5.29,4.6,24.43,7.72,6.65,5.24,18.11,6.65,5.29,4.6,17.22,6.65,6.65,5.24,23.98,7.72,4.3,4.6,21.73,8.74,3.38,8.39,24.12,40.23,9.81,18.93,59.05,3.38,13.070357142857144,0.7857142857142857,78547,84464,4524,0.6554,0.1065,0.032,113549.0,BK_rest,-29085.0,1,0
36047095800,6.92,4.92,4.37,22.94,7.34,6.84,5.17,15.51,6.32,4.92,4.37,15.77,6.32,6.32,5.17,21.24,7.34,3.94,4.37,20.22,8.88,2.63,6.85,21.55,37.99,8.61,17.88,56.82,2.63,12.197142857142856,0.7857142857142857,69120,107136,3378,0.7816,0.1081,0.028,113549.0,BK_rest,-6413.0,1,1
36047096200,6.56,4.85,4.85,21.12,6.52,6.03,5.75,12.43,5.29,4.83,4.85,13.82,5.29,5.29,5.75,18.04,6.56,4.85,5.29,17.51,8.38,3.33,5.83,18.35,34.95,7.95,16.46,53.77,3.33,11.232142857142856,0.8928571428571429,67344,102596,1679,0.7828,0.0717,0.009,113549.0,BK_rest,-10953.0,1,1
36047096400,6.25,4.26,3.77,22.18,6.67,6.25,5.31,13.8,5.79,4.25,3.77,14.86,5.79,5.79,5.31,19.53,6.67,3.34,3.77,19.09,8.98,2.39,5.94,19.9,36.57,8.52,17.72,55.39,2.39,11.495000000000001,0.8928571428571429,67763,128816,2469,0.512,0.129,0.046,113549.0,BK_rest,15267.0,0,1
36047096600,5.83,3.39,3.88,23.5,6.91,5.83,5.46,14.23,5.47,3.39,3.88,15.91,5.47,5.47,6.32,20.04,6.91,3.58,3.88,19.68,10.55,2.51,7.12,20.99,38.59,10.83,20.01,57.37,2.51,12.035714285714286,0.7857142857142857,66968,103800,2525,0.6544,0.2165,0.057,113549.0,BK_rest,-9749.0,1,1
36047096800,6.62,4.21,4.57,22.92,7.4,6.62,6.58,12.48,5.75,3.76,4.58,15.16,5.75,5.75,6.99,18.03,7.4,4.15,4.48,17.94,10.0,2.89,6.98,19.63,37.76,10.61,19.95,55.87,2.89,11.958214285714282,0.8928571428571429,91080,81932,1511,0.67,0.0821,0.054,113549.0,BK_rest,-31617.0,1,0
36047097000,7.03,5.32,5.18,21.51,7.73,6.86,7.16,11.22,5.77,4.37,5.32,13.84,5.77,5.77,7.16,16.64,7.03,5.09,5.09,16.33,8.62,3.42,6.3,17.88,35.44,9.13,17.87,54.06,3.42,11.532499999999999,0.8928571428571429,77895,121597,2696,0.6834,0.1376,0.038,113549.0,BK_rest,8048.0,0,0
36047097400,6.93,5.13,5.13,24.27,8.01,6.93,6.93,11.77,6.57,5.13,5.13,15.54,6.57,6.57,7.55,17.32,7.7,5.13,5.13,18.18,10.16,4.5,8.65,20.09,38.95,12.12,21.77,57.07,4.5,12.676071428571428,0.8214285714285714,76767,118988,2792,0.6786,0.1603,0.069,113549.0,BK_rest,5439.0,0,0
36047098200,7.21,5.83,6.17,24.91,9.08,7.08,7.53,10.02,7.39,5.83,6.5,13.81,7.39,6.72,9.02,15.21,6.64,5.83,6.07,16.63,8.66,5.9,9.77,18.82,38.1,14.61,24.33,55.86,5.83,12.89,0.8571428571428571,22309,20612,4526,0.22,0.466,0.214,113549.0,BK_rest,-92937.0,1,1
36047098400,6.54,5.34,5.34,26.2,8.45,6.54,6.54,11.89,6.54,5.34,5.34,15.82,6.54,6.46,7.86,17.07,7.03,5.34,5.34,18.65,9.19,6.04,10.61,20.83,39.17,14.86,24.64,57.87,5.34,13.120714285714287,0.8214285714285714,97386,110172,2233,0.7699,0.0335,0.0,113549.0,BK_rest,-3377.0,1,0
36047098600,6.14,4.94,4.94,25.73,8.05,6.14,6.14,12.69,6.14,4.94,4.94,16.59,6.14,6.06,7.46,18.27,7.43,4.94,4.94,19.46,10.39,5.48,10.09,21.34,39.9,13.8,23.44,58.6,4.94,13.040000000000003,0.8214285714285714,81369,89241,2857,0.7614,0.091,0.046,113549.0,BK_rest,-24308.0,1,0
36047098800,5.75,4.17,4.54,24.53,7.65,5.75,5.75,13.09,5.75,4.17,4.54,16.28,5.75,5.75,7.06,18.77,7.47,4.54,4.54,19.16,10.8,4.29,8.9,21.05,39.45,12.6,22.24,57.57,4.17,12.568214285714287,0.8214285714285714,83628,100302,3348,0.7231,0.0556,0.023,113549.0,BK_rest,-13247.0,1,0
36047099000,5.24,3.01,4.49,24.59,7.48,5.24,5.09,14.9,4.9,3.01,4.49,16.87,4.9,4.19,6.71,20.58,7.48,4.36,4.49,20.43,11.71,4.04,8.48,21.93,39.75,12.02,21.52,58.28,3.01,12.50642857142857,0.75,77721,57422,1742,0.798,0.1824,0.08,113549.0,BK_rest,-56127.0,1,0
36047099200,5.5,3.21,3.89,24.35,7.12,5.5,4.69,15.96,5.29,3.21,3.89,16.93,5.29,4.58,6.18,21.77,7.12,3.78,3.89,21.25,11.13,3.47,7.93,22.37,39.49,11.06,20.38,58.31,3.21,12.412142857142857,0.75,81542,82250,2483,0.8659,0.1104,0.009,113549.0,BK_rest,-31299.0,1,0
36047099400,5.39,3.63,3.59,24.41,6.91,5.39,4.5,16.86,5.39,3.63,3.59,17.06,5.39,5.11,5.35,22.72,6.91,3.5,3.59,21.53,10.28,3.43,8.05,23.11,39.81,10.56,19.88,58.64,3.43,12.436071428571427,0.7857142857142857,100266,127188,2057,0.8375,0.0773,0.0,113549.0,BK_rest,13639.0,0,0
36047099600,5.65,4.88,3.99,24.51,7.31,5.65,4.72,18.2,5.65,4.88,3.99,17.3,5.65,5.65,4.72,24.07,7.31,3.89,3.99,21.8,8.7,3.47,8.37,24.31,40.6,9.78,18.95,59.43,3.47,12.764999999999999,0.7857142857142857,65260,101153,3496,0.6162,0.0541,0.02,113549.0,BK_rest,-12396.0,1,1
36047099800,5.99,5.88,5.2,25.4,8.74,5.99,4.87,19.98,5.99,5.88,5.2,18.15,5.99,5.99,5.3,25.91,8.74,5.23,5.2,22.66,8.35,5.01,9.36,25.91,41.64,9.78,18.96,60.47,4.87,13.634642857142852,0.7857142857142857,80938,125453,4005,0.6688,0.0447,0.011,113549.0,BK_rest,11904.0,0,0
36047100400,6.1,5.48,5.33,25.9,8.87,6.1,4.98,19.91,6.1,5.48,5.33,18.66,6.1,5.7,5.95,25.78,8.87,5.36,5.33,23.16,9.5,5.15,9.74,26.05,42.38,10.8,19.97,61.2,4.98,13.902857142857144,0.7857142857142857,76207,117875,3004,0.7242,0.0806,0.022,113549.0,BK_rest,4326.0,0,0
36047100600,5.84,4.41,5.07,25.84,8.61,5.84,4.72,18.82,5.84,4.41,5.07,18.47,5.84,4.63,6.49,24.68,8.61,5.1,5.07,22.93,10.71,4.96,9.46,25.08,41.81,11.41,20.73,60.64,4.41,13.610357142857143,0.75,96597,108846,2809,0.689,0.1,0.023,113549.0,BK_rest,-4703.0,1,0
36047100800,6.02,3.81,5.29,25.74,8.83,6.02,4.9,17.74,5.89,3.81,5.29,18.33,5.89,4.0,7.5,23.55,8.83,5.32,5.29,22.64,11.94,5.23,9.32,24.15,41.28,12.06,21.38,60.11,3.81,13.577142857142858,0.75,84348,104269,2236,0.6437,0.0683,0.023,113549.0,BK_rest,-9280.0,1,0
36047101000,5.8,3.57,5.84,25.98,9.19,5.8,5.26,16.68,5.46,3.57,5.84,18.26,5.46,3.56,8.07,22.36,9.19,5.88,5.84,22.21,12.93,5.75,9.83,23.68,41.53,13.01,22.49,60.06,3.56,13.682142857142859,0.75,59070,124625,2293,0.4942,0.2058,0.085,113549.0,BK_rest,11076.0,0,1
36047101200,5.74,4.17,5.72,25.94,8.8,5.74,5.74,14.87,5.74,4.17,5.72,17.69,5.74,4.56,7.86,20.55,8.65,5.72,5.72,20.94,12.55,6.01,10.29,22.8,41.23,13.65,23.4,59.35,4.17,13.537857142857144,0.75,85556,131176,2324,0.7761,0.0873,0.034,113549.0,BK_rest,17627.0,0,0
36047101400,6.14,5.36,6.12,27.14,9.2,6.14,6.14,14.47,6.14,5.36,6.12,18.09,6.14,5.3,8.27,20.05,8.6,6.12,6.12,21.23,12.15,7.21,11.49,23.09,41.68,14.85,24.6,60.38,5.3,14.060714285714289,0.75,86923,110776,2169,0.7874,0.0799,0.017,113549.0,BK_rest,-2773.0,1,0
36047101600,6.6,6.27,6.27,27.44,9.37,6.6,6.6,13.23,6.6,6.27,6.27,17.15,6.6,6.51,8.6,18.4,7.87,6.27,6.27,19.98,10.52,7.55,12.11,22.16,40.51,16.01,26.0,59.21,6.27,14.044285714285715,0.8214285714285714,106944,183352,1710,0.8865,0.0224,0.0,113549.0,BK_rest,69803.0,0,0
36047101800,6.92,6.76,7.49,28.2,10.52,6.92,6.92,14.27,6.92,6.76,7.49,18.19,6.92,6.1,9.43,19.44,8.98,7.49,7.49,21.02,11.56,8.77,13.33,23.2,41.55,16.48,26.47,60.25,6.1,14.851428571428572,0.7857142857142857,86188,250001,2176,0.7716,0.0483,0.019,,,,0,0
36047102000,6.66,5.89,7.83,28.51,10.69,6.66,6.66,16.25,6.66,5.89,7.83,19.46,6.66,4.64,9.57,21.83,10.32,7.83,7.83,23.01,13.57,8.85,12.79,24.81,43.46,15.81,25.5,62.16,4.64,15.272499999999996,0.75,111767,168380,2261,0.8637,0.0327,0.007,113549.0,BK_rest,54831.0,0,0
36047102200,6.26,4.69,7.42,27.31,10.28,6.26,6.26,16.64,6.26,4.69,7.42,19.06,6.26,3.9,9.16,22.33,10.28,7.42,7.42,22.72,13.97,7.66,11.59,24.51,43.01,14.61,24.3,61.12,3.9,14.743214285714286,0.75,72273,69688,2364,0.6958,0.0351,0.036,113549.0,BK_rest,-43861.0,1,0
36047102400,6.83,4.45,6.69,27.1,10.23,6.83,5.71,18.69,6.53,4.45,6.69,19.58,6.53,4.05,9.06,24.49,10.23,6.72,6.69,23.76,13.39,6.75,10.68,25.34,42.94,13.59,22.91,61.72,4.05,14.736785714285714,0.75,74643,209559,2245,0.7599,0.1376,0.039,113549.0,BK_rest,96010.0,0,0
36047102600,5.98,4.76,5.91,26.68,9.45,5.98,4.86,19.86,5.98,4.76,5.91,19.31,5.98,4.29,7.13,25.72,9.45,5.94,5.91,23.77,11.14,6.0,10.3,26.12,42.85,12.05,21.37,61.68,4.29,14.255,0.75,100417,107344,3193,0.7956,0.0924,0.018,113549.0,BK_rest,-6205.0,1,0
