GEOID,Mo_period_1_tt_3,Mo_period_2_tt_3,Mo_period_3_tt_3,Mo_period_4_tt_3,Tu_period_1_tt_3,Tu_period_2_tt_3,Tu_period_3_tt_3,Tu_period_4_tt_3,We_period_1_tt_3,We_period_2_tt_3,We_period_3_tt_3,We_period_4_tt_3,Th_period_1_tt_3,Th_period_2_tt_3,Th_period_3_tt_3,Th_period_4_tt_3,Fr_period_1_tt_3,Fr_period_2_tt_3,Fr_period_3_tt_3,Fr_period_4_tt_3,Sa_period_1_tt_3,Sa_period_2_tt_3,Sa_period_3_tt_3,Sa_period_4_tt_3,Su_period_1_tt_3,Su_period_2_tt_3,Su_period_3_tt_3,Su_period_4_tt_3,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36081118100,44.89,33.1,39.86,108.82,38.8,26.13,28.1,58.35,27.01,22.64,38.26,49.98,36.9,30.23,34.95,80.32,45.2,30.31,39.06,75.04,61.62,43.45,58.44,71.7,69.41,53.1,97.18,111.66,22.64,51.946785714285724,0.0,78625,69063,1734,0.781,0.1113,0.104,115496.0,Queens,-46433.0,1,0
36081118500,39.43,24.82,31.9,107.01,29.74,15.51,16.03,54.59,17.68,13.47,29.03,51.28,35.34,24.05,30.94,78.18,39.18,22.02,31.72,77.44,61.65,37.52,55.21,67.4,68.06,53.65,98.48,108.92,13.47,47.15178571428572,0.14285714285714285,50000,77500,1930,0.6601,0.0938,0.144,115496.0,Queens,-37996.0,1,1
36081118700,37.77,20.8,31.15,102.99,24.19,9.13,9.53,52.71,16.52,12.02,25.64,50.04,34.33,20.49,30.49,77.9,34.61,17.0,31.41,79.05,60.74,32.59,53.56,63.88,69.62,56.16,97.38,105.35,9.13,44.89464285714285,0.17857142857142858,51250,86845,2497,0.635,0.1438,0.165,115496.0,Queens,-28651.0,1,1
36081118900,37.52,19.24,27.84,103.1,24.79,8.04,8.08,50.73,17.11,11.91,23.68,48.73,32.87,18.55,27.59,75.58,35.41,16.85,28.38,77.12,58.02,33.45,52.66,62.12,65.79,52.87,97.51,106.27,8.04,43.63607142857143,0.25,46426,41318,1857,0.6117,0.1357,0.134,115496.0,Queens,-74178.0,1,1
36081119100,36.81,20.58,27.01,97.87,27.01,12.08,11.78,48.89,17.5,12.69,24.42,47.17,32.57,19.03,26.77,70.46,36.15,18.53,27.02,70.85,54.75,33.89,50.75,59.49,61.67,48.81,91.89,100.95,11.78,42.40678571428572,0.21428571428571427,37886,109444,2944,0.7922,0.1816,0.147,115496.0,Queens,-6052.0,1,1
36081119300,40.61,24.6,30.04,102.77,31.69,16.09,15.85,52.67,19.4,14.24,28.59,49.11,34.04,22.6,28.35,73.92,40.81,22.39,30.24,72.42,57.79,38.08,53.53,64.33,64.44,49.46,94.03,105.62,14.24,45.6325,0.14285714285714285,46864,72639,2058,0.7772,0.1156,0.093,115496.0,Queens,-42857.0,1,1
36081119500,37.7,22.35,27.22,94.43,29.76,14.87,14.95,48.69,19.09,13.88,26.14,44.68,31.07,19.83,25.37,66.98,37.67,20.79,27.26,65.7,52.57,35.25,49.4,59.12,58.66,44.71,86.85,97.61,13.88,41.878571428571426,0.17857142857142858,89583,88000,1559,0.9262,0.0738,0.095,115496.0,Queens,-27496.0,1,0
36081119900,33.46,17.63,23.92,87.25,23.95,9.34,9.42,44.0,16.63,11.76,21.28,42.73,28.95,15.77,23.67,63.14,32.38,15.62,24.34,63.65,48.8,30.17,45.82,52.88,55.64,43.75,82.73,90.37,9.34,37.823214285714286,0.25,100000,153125,1618,0.9719,0.1471,0.144,115496.0,Queens,37629.0,0,0
36081120100,37.15,18.2,25.83,100.87,25.12,8.06,7.97,49.04,18.61,12.84,22.12,47.07,31.81,16.43,25.21,72.87,35.25,15.75,26.53,73.95,54.59,34.25,50.91,59.4,64.61,51.26,95.22,103.54,7.97,42.30214285714286,0.25,65156,85433,1416,0.6675,0.1504,0.109,115496.0,Queens,-30063.0,1,1
36081120300,38.52,18.7,23.99,105.32,27.65,11.8,11.86,49.62,21.62,14.1,22.14,47.94,32.26,14.28,24.0,72.09,36.98,16.15,25.12,73.92,53.62,36.56,51.12,59.21,63.33,50.71,98.55,108.04,11.8,43.18571428571429,0.21428571428571427,56250,163547,1684,0.5978,0.1508,0.122,115496.0,Queens,48051.0,0,1
36081120500,39.96,17.84,25.51,112.87,25.73,7.85,7.61,52.86,19.87,12.75,21.58,50.12,33.02,15.58,24.99,80.36,36.91,15.02,26.91,82.69,59.05,37.45,55.09,64.6,70.64,56.8,106.54,115.25,7.61,45.551785714285714,0.25,25292,39202,2748,0.3773,0.2513,0.168,115496.0,Queens,-76294.0,1,1
36081120701,35.43,20.61,23.86,91.97,28.2,14.57,14.7,45.11,20.46,14.61,23.25,44.32,29.57,16.98,23.49,61.56,34.77,18.79,24.22,62.82,49.07,33.87,46.95,55.21,53.23,41.35,84.96,95.4,14.57,39.61892857142858,0.17857142857142858,94196,97014,3191,0.9546,0.0552,0.072,115496.0,Queens,-18482.0,1,0
