GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29,tt_30,fp_30,tt_31,fp_31,tt_32,fp_32,tt_33,fp_33,tt_34,fp_34,tt_35,fp_35,tt_36,fp_36,tt_37,fp_37,tt_38,fp_38
36081012602,Queens,QN0902,-73.84070382555075,40.693165883532565,POINT (-73.84070381161969 40.69316586480463),POINT (-73.84070382555075 40.69316588353256),42.032,DSNY-BRS-1033,26.539,83296,35.903,83630,56.391,81987,42.437,83993,51.208,83999,54.015,85444,62.246,85338,62.875,DSNY-BRS-1309,64.092,84949,60.051,84151,62.729,85172,85.632,81145,61.852,83348,73.359,FPC-493,51.458,81199,61.524,82798,61.103,81735,55.582,DSNY-BRS-1461,77.313,83311,64.78,81698,67.05,84273,96.279,FPC-513,96.279,FPC-662,96.279,80086,61.902,80720,62.084,87369,72.415,FPC-714,63.079,81458,66.933,80730,66.933,81119,63.296,82998,79.645,FPC-397,89.348,Plentiful-1342,95.488,81564,110.014,Plentiful-1430,110.014,83333,92.681,85326,99.427,FPC-620
36081012800,Queens,QN0902,-73.84012308805451,40.69826282654861,POINT (-73.84012305374436 40.69826280445823),POINT (-73.84012308805451 40.69826282654861),41.029,DSNY-BRS-1033,25.544,83296,29.849,83630,57.246,81987,43.624,83993,53.02,85444,50.956,83999,63.101,85338,63.73,DSNY-BRS-1309,64.947,84949,61.238,84151,63.916,85172,84.616,81145,71.275,FPC-493,62.707,83348,50.455,81199,60.521,82798,57.809,81735,76.31,83311,54.579,DSNY-BRS-1461,95.263,FPC-513,95.263,FPC-662,95.263,80086,71.412,FPC-714,66.047,84273,61.081,87369,58.992,80720,65.967,81698,65.93,80730,65.93,81119,64.083,81458,78.642,FPC-397,88.345,Plentiful-1342,64.151,82998,96.675,81564,108.251,Plentiful-1430,108.251,83333,93.536,85326,100.282,FPC-620
36081013200,Queens,QN0902,-73.83438883783438,40.701294309574656,POINT (-73.83438881343 40.70129429899832),POINT (-73.83438883783438 40.70129430957466),37.287,DSNY-BRS-1033,25.324,83296,29.363,83630,51.182,85444,51.593,83999,60.045,81987,44.24,83993,65.9,85338,66.529,DSNY-BRS-1309,67.746,84949,81.712,81145,61.854,84151,64.532,85172,68.552,FPC-493,64.147,83348,46.713,81199,56.779,82798,92.359,FPC-513,92.359,FPC-662,92.359,80086,72.568,83311,55.086,81735,50.837,DSNY-BRS-1461,67.67,FPC-714,62.305,84273,84.603,Plentiful-1342,57.339,87369,62.188,80730,62.188,81119,74.9,FPC-397,58.506,80720,66.583,81698,62.207,81458,65.52,82998,105.528,Plentiful-1430,105.528,83333,97.291,81564,96.335,85326,103.081,FPC-620
36081013400,Queens,QN0901,-73.83498229914231,40.70528112165271,POINT (-73.83498227489095 40.70528111152274),POINT (-73.83498229914231 40.70528112165271),35.404,DSNY-BRS-1033,25.027,83296,35.609,83630,50.885,85444,51.424,83999,65.617,81987,50.219,83993,79.508,81145,71.472,85338,72.101,DSNY-BRS-1309,73.318,84949,67.833,84151,70.511,85172,66.348,FPC-493,70.126,83348,44.83,81199,54.896,82798,90.155,FPC-513,90.155,FPC-662,90.155,80086,70.685,83311,52.882,81735,48.954,DSNY-BRS-1461,65.787,FPC-714,60.422,84273,82.72,Plentiful-1342,73.017,FPC-397,55.456,87369,60.305,80730,60.305,81119,57.332,80720,60.324,81458,72.562,81698,63.637,82998,103.324,Plentiful-1430,103.324,83333,103.27,81564,101.309,85326,108.31,FPC-620
36081013500,Queens,QN0101,-73.89897613989628,40.77064857793325,POINT (-73.8989761629475 40.77064858015778),POINT (-73.89897613989628 40.77064857793325),48.334,FPC-493,57.66,DSNY-BRS-1033,55.635,83311,49.009,FPC-714,74.695,83630,76.302,81145,46.87,81199,60.572,FPC-397,58.291,84273,66.435,Plentiful-1342,57.863,80730,57.863,81119,48.751,DSNY-BRS-1461,51.909,82798,49.84,81735,75.7,FPC-513,75.7,FPC-662,75.7,80086,55.883,87369,79.835,83993,56.576,80720,93.156,81987,62.53,81458,64.539,82998,83.566,Plentiful-1430,83.566,83333,81.775,84151,64.366,83296,74.469,83348,82.522,85172,92.186,84949,78.855,81698,98.931,85338,98.317,DSNY-BRS-1309,91.842,85444,96.98,83999,98.912,81564,95.327,85326,102.073,FPC-620
36081013800,Queens,QN0901,-73.82516104349396,40.70657936983425,POINT (-73.82516092864275 40.70657934122229),POINT (-73.82516104349396 40.70657936983425),23.629,83296,33.171,DSNY-BRS-1033,43.336,83630,50.585,85444,51.124,83999,67.64,81987,54.018,83993,72.092,81145,73.495,85338,74.124,DSNY-BRS-1309,75.341,84949,71.632,84151,74.31,85172,61.879,FPC-493,82.739,FPC-513,73.101,83348,82.739,FPC-662,42.597,81199,82.739,80086,52.663,82798,68.058,83311,79.554,Plentiful-1342,63.554,FPC-714,48.413,81735,46.721,DSNY-BRS-1461,70.784,FPC-397,57.066,84273,56.638,80730,56.638,81119,53.223,87369,54.207,80720,58.091,81458,76.361,81698,96.474,Plentiful-1430,96.474,83333,61.404,82998,101.546,81564,97.961,85326,104.707,FPC-620
36081014000,Queens,QN0901,-73.82904911348855,40.70372567752407,POINT (-73.82904910746728 40.703725687319704),POINT (-73.82904911348855 40.70372567752407),22.172,83296,32.549,DSNY-BRS-1033,35.692,83630,48.03,85444,48.569,83999,58.707,81987,45.085,83993,77.352,81145,64.562,85338,65.191,DSNY-BRS-1309,66.408,84949,62.699,84151,65.377,85172,63.876,FPC-493,64.168,83348,41.975,81199,87.999,FPC-513,87.999,FPC-662,87.999,80086,52.041,82798,67.83,83311,51.62,81735,46.099,DSNY-BRS-1461,62.932,FPC-714,79.865,Plentiful-1342,57.567,84273,70.162,FPC-397,57.45,80730,57.45,81119,52.601,87369,57.587,80720,67.428,81698,57.469,81458,60.782,82998,101.734,Plentiful-1430,101.734,83333,98.136,81564,94.997,85326,101.743,FPC-620
36081014201,Queens,QN0902,-73.82464109527875,40.70097393321185,POINT (-73.82464109622661 40.70097392231834),POINT (-73.82464109527875 40.70097393321185),18.079,83296,30.042,DSNY-BRS-1033,34.889,83630,43.937,85444,44.476,83999,57.132,81987,43.51,83993,75.095,81145,62.987,85338,63.616,DSNY-BRS-1309,64.833,84949,61.124,84151,63.802,85172,61.369,FPC-493,62.593,83348,39.468,81199,85.742,FPC-513,85.742,FPC-662,85.742,80086,49.534,82798,65.323,83311,49.113,81735,43.592,DSNY-BRS-1461,60.425,FPC-714,77.358,Plentiful-1342,55.06,84273,67.655,FPC-397,50.094,87369,54.943,80730,54.943,81119,55.08,80720,65.853,81698,54.962,81458,58.275,82998,99.477,Plentiful-1430,99.477,83333,96.561,81564,93.422,85326,100.168,FPC-620
36081014202,Queens,QN0902,-73.820335487293,40.698667054449395,POINT (-73.82033555581206 40.69866703289777),POINT (-73.82033548729299 40.69866705444939),20.622,83296,33.834,DSNY-BRS-1033,40.147,83630,47.729,85444,45.291,83999,63.962,81987,48.283,83993,78.887,81145,69.817,85338,70.446,DSNY-BRS-1309,71.663,84949,65.897,84151,68.575,85172,65.161,FPC-493,68.19,83348,43.26,81199,89.534,FPC-513,89.534,FPC-662,89.534,80086,53.326,82798,69.115,83311,52.905,81735,81.15,Plentiful-1342,47.384,DSNY-BRS-1461,64.217,FPC-714,58.852,84273,71.447,FPC-397,53.886,87369,58.735,80730,58.735,81119,58.872,80720,70.626,81698,58.754,81458,62.067,82998,103.269,Plentiful-1430,103.269,83333,101.334,81564,100.252,85326,106.998,FPC-620
36081014300,Queens,QN0104,-73.91151149646791,40.76629988334727,POINT (-73.91151150326873 40.76629988318994),POINT (-73.91151149646791 40.76629988334727),40.96,FPC-493,48.261,83311,39.496,81199,41.635,FPC-714,60.661,83630,50.917,84273,53.198,FPC-397,41.377,DSNY-BRS-1461,50.489,81119,50.489,80730,44.535,82798,43.626,DSNY-BRS-1033,42.466,81735,48.509,87369,68.928,81145,72.498,83993,59.061,Plentiful-1342,50.819,80720,68.326,FPC-513,68.326,FPC-662,68.326,80086,56.698,81458,57.165,82998,85.782,81987,67.095,83348,74.438,84151,75.185,85172,84.849,84949,76.192,Plentiful-1430,76.192,83333,71.481,81698,55.688,83296,91.594,85338,90.98,DSNY-BRS-1309,83.164,85444,91.538,81564,88.302,83999,87.953,85326,94.699,FPC-620
36081014400,Queens,QN0902,-73.82849293557878,40.69849014209512,POINT (-73.82849289017649 40.6984900795807),POINT (-73.82849293557878 40.69849014209512),24.133,83296,38.778,DSNY-BRS-1033,35.022,83630,51.609,85444,48.802,83999,60.702,81987,45.556,83993,66.557,85338,67.186,DSNY-BRS-1309,68.403,84949,82.449,81145,63.17,84151,65.848,85172,69.289,FPC-493,65.463,83348,48.204,81199,58.27,82798,93.096,FPC-513,93.096,FPC-662,93.096,80086,74.059,83311,55.823,81735,52.328,DSNY-BRS-1461,69.161,FPC-714,63.796,84273,86.094,Plentiful-1342,58.83,87369,76.391,FPC-397,63.679,80730,63.679,81119,61.617,80720,67.899,81698,63.698,81458,67.01,82998,106.265,Plentiful-1430,106.265,83333,98.607,81564,96.992,85326,103.738,FPC-620
