GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29
36005019400,Bronx,BX1002,-73.83589480050884,40.833520525505364,POINT (-73.83589480019805 40.833520438114405),POINT (-73.83589480050884 40.83352052550536),29.501,87064,35.277,85307,42.831,85108,42.795,82750,60.459,80936,53.737,FPC-601,55.797,85357,44.754,FPC-624,83.354,85251,79.727,85221,80.542,85071,57.845,81199,87.088,FPC-690,97.924,FPC-630,97.845,85227,92.725,84611,104.146,85328,62.427,85523,65.6,85521,85.385,85351,94.566,85314,69.225,87247,99.04,83913,81.2,85434,84.818,FPC-488,70.431,85517,104.763,85540,83.192,FPC-457,114.286,80343,103.2,83916
36081001800,Queens,QN0905,-73.85201096520535,40.69027371153254,POINT (-73.85201093255871 40.690273679376325),POINT (-73.85201096520535 40.69027371153254),20.042,FPC-630,20.47,85251,31.301,85328,22.19,85227,23.094,84611,40.999,FPC-601,54.595,80936,39.867,83913,34.02,FPC-690,41.927,85351,48.478,85071,45.312,FPC-488,61.087,85540,53.107,85221,49.36,85314,54.319,85434,52.271,81199,68.982,FPC-624,77.372,82750,88.958,87064,57.148,85521,61.409,87247,81.304,80343,60.08,85523,55.309,85517,65.338,FPC-457,92.926,85108,82.676,85357,99.986,85307,86.12,83916
36081002000,Queens,QN0905,-73.8495157599098,40.69135003581075,POINT (-73.8495157232445 40.6913500023797),POINT (-73.84951575990981 40.69135003581075),20.413,85251,22.709,FPC-630,33.968,85328,20.818,85227,23.596,84611,41.315,FPC-601,54.911,80936,38.495,83913,32.648,FPC-690,40.555,85351,47.106,85071,46.169,FPC-488,60.731,85540,51.735,85221,47.988,85314,52.947,85434,52.352,81199,69.298,FPC-624,77.688,82750,89.274,87064,57.464,85521,62.266,87247,82.161,80343,60.396,85523,56.166,85517,93.007,85108,66.195,FPC-457,83.533,85357,100.302,85307,86.977,83916
36047050600,Brooklyn,BK1402,-73.9668623096162,40.648977506913745,POINT (-73.96686237700682 40.648977516388406),POINT (-73.9668623096162 40.64897750691375),29.7,85540,23.824,FPC-488,29.552,FPC-457,35.283,85351,39.372,83913,36.443,80343,40.273,85434,34.578,85517,44.932,84611,50.537,85227,45.238,85328,42.932,87247,43.826,FPC-630,34.877,85521,37.535,85523,46.913,81199,72.973,80936,65.123,FPC-601,62.186,85251,55.096,FPC-624,55.673,83916,63.509,82750,81.435,FPC-690,77.688,87064,79.054,85108,70.126,85357,89.799,85071,94.977,85221,96.775,85314,92.686,85307
36081049900,Queens,QN0401,-73.8833614710412,40.73112368006885,POINT (-73.88336144318468 40.731123690574634),POINT (-73.8833614710412 40.73112368006885),20.358,FPC-601,34.48,80936,41.402,85227,39.317,84611,42.987,FPC-630,52.707,85328,38.839,85251,34.428,85351,50.727,83913,41.724,FPC-488,49.506,FPC-624,32.795,81199,57.896,82750,48.915,85434,72.075,87064,37.672,85521,43.219,87247,40.126,85523,45.201,FPC-690,66.331,85540,73.45,85108,51.638,85071,52.577,85517,65.429,85357,56.816,85221,61.995,85314,83.336,85307,65.338,FPC-457,85.347,80343,84.465,83916
36081050700,Queens,QN0504,-73.88158782403336,40.72702038846617,POINT (-73.88158786126836 40.72702041698465),POINT (-73.88158782403336 40.72702038846617),26.508,FPC-601,37.155,80936,46.122,85227,44.037,84611,47.707,FPC-630,57.98,85328,36.843,85251,56.0,83913,39.701,85351,46.997,FPC-488,52.712,FPC-624,35.743,81199,61.102,82750,54.188,85434,75.281,87064,40.62,85521,46.167,87247,41.45,85523,51.099,FPC-690,71.604,85540,76.398,85108,57.536,85071,57.643,85517,62.714,85221,68.377,85357,67.893,85314,70.404,FPC-457,90.62,80343,85.372,85307,89.738,83916
36061024000,Manhattan,MN1191,-73.92459676909277,40.79100136672339,POINT (-73.92459718707322 40.79100107124359),POINT (-73.92459676909277 40.79100136672339),11.58,FPC-624,25.796,82750,27.546,81199,46.269,80936,37.439,87064,41.443,85108,35.93,85357,31.602,85523,35.863,85521,50.025,FPC-601,39.488,87247,50.375,85434,54.56,85351,53.993,FPC-488,61.9,84611,67.95,85227,68.215,83913,39.606,85517,67.099,FPC-630,53.15,85307,73.321,85328,64.826,85251,73.938,85540,52.367,FPC-457,69.081,FPC-690,76.139,85071,81.317,85221,83.461,80343,85.875,85314,72.375,83916
36005001902,Bronx,BX0101,-73.91592926954458,40.80368319788213,POINT (-73.91592919422698 40.80368327542897),POINT (-73.91592926954458 40.80368319788213),16.486,82750,15.683,FPC-624,25.384,87064,35.995,85108,38.465,85357,54.733,80936,28.774,81199,51.779,FPC-601,33.356,85523,36.529,85521,40.154,87247,52.129,85434,56.314,85351,49.102,85307,55.747,FPC-488,63.654,84611,69.704,85227,68.853,FPC-630,69.969,83913,41.36,85517,66.58,85251,75.075,85328,70.835,FPC-690,75.692,85540,54.121,FPC-457,77.893,85071,83.071,85221,87.629,85314,85.215,80343,74.129,83916
36047006300,Brooklyn,BK0601,-74.00129771096951,40.68199237735508,POINT (-74.0012977527423 40.68199233467488),POINT (-74.00129771096951 40.68199237735508),19.208,85517,22.774,FPC-457,29.667,85434,19.556,FPC-488,26.716,85351,34.182,87247,32.635,85521,33.813,85523,39.174,81199,43.314,83913,49.612,85540,44.371,80343,39.263,84611,44.868,85227,45.796,85328,38.157,FPC-630,45.837,FPC-624,42.474,83916,64.406,80936,56.556,FPC-601,54.355,82750,56.517,85251,68.534,87064,60.738,85357,69.795,85108,74.795,FPC-690,81.232,85071,83.89,85307,79.257,85221,91.106,85314
36047005100,Brooklyn,BK0601,-74.00347472281405,40.683473709757706,POINT (-74.00347472906942 40.68347368259675),POINT (-74.00347472281405 40.68347370975771),18.22,85517,28.061,FPC-457,31.009,85434,23.757,FPC-488,30.917,85351,35.524,87247,33.977,85521,32.825,85523,38.186,81199,42.461,83913,47.849,85540,49.623,80343,38.777,84611,44.382,85227,45.31,85328,37.671,FPC-630,44.849,FPC-624,47.761,83916,67.637,80936,59.787,FPC-601,53.367,82750,56.031,85251,59.643,85357,67.546,87064,68.807,85108,75.28,FPC-690,83.056,85071,82.902,85307,78.269,85221,90.62,85314
