GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14
36005039400,Bronx,BX1201,-73.8633961262925,40.88647815437075,POINT (-73.86339613800209 40.88647815148556),POINT (-73.8633961262925 40.88647815437075),37.684,85503,32.803,87064,51.4,FPC-624,56.757,80752,61.237,81199,58.511,85523,63.426,85521,68.08,87247,84.066,85434,87.684,FPC-488,104.334,82186,73.061,85517,86.058,FPC-457,117.152,80343,106.066,83916
36005039600,Bronx,BX1201,-73.85895560245034,40.88442345348235,POINT (-73.85895559012073 40.88442345444253),POINT (-73.85895560245034 40.88442345348235),32.148,85503,32.569,87064,51.166,FPC-624,56.523,80752,61.003,81199,58.277,85523,63.192,85521,67.846,87247,83.832,85434,87.45,FPC-488,104.1,82186,72.827,85517,85.824,FPC-457,116.918,80343,105.832,83916
36005039800,Bronx,BX1201,-73.85346966640789,40.88269714709426,POINT (-73.85346966050537 40.88269714602374),POINT (-73.85346966640789 40.88269714709426),31.653,85503,37.572,87064,54.577,FPC-624,61.526,80752,64.414,81199,63.28,85523,68.195,85521,72.849,87247,87.243,85434,90.861,FPC-488,107.511,82186,76.474,85517,89.235,FPC-457,120.329,80343,109.243,83916
36005040302,Bronx,BX0702,-73.89219902878611,40.86784726425992,POINT (-73.89219906363967 40.867847246846885),POINT (-73.89219902878611 40.86784726425992),34.921,87064,37.928,85503,33.912,FPC-624,42.582,80752,43.749,81199,42.198,85523,41.393,85521,49.687,87247,61.328,85434,66.599,FPC-488,55.809,85517,86.846,82186,68.57,FPC-457,96.354,80343,88.578,83916
36005040303,Bronx,BX0702,-73.89349760234023,40.869690565164426,POINT (-73.89349760663129 40.86969056279023),POINT (-73.89349760234023 40.86969056516443),37.946,87064,40.953,85503,34.347,FPC-624,45.181,80752,44.184,81199,45.516,85523,44.711,85521,53.005,87247,64.646,85434,69.917,FPC-488,56.244,85517,87.281,82186,69.005,FPC-457,99.672,80343,89.013,83916
36005040304,Bronx,BX0702,-73.89519055084604,40.86767023082311,POINT (-73.89519054680981 40.86767022958926),POINT (-73.89519055084604 40.86767023082311),33.869,87064,37.143,85503,29.144,FPC-624,39.78,80752,38.981,81199,42.765,85523,41.96,85521,50.254,87247,61.81,85434,65.428,FPC-488,51.041,85517,82.078,82186,63.802,FPC-457,94.896,80343,83.81,83916
36005040400,Bronx,BX1201,-73.85134868946037,40.886169223526075,POINT (-73.85134867998117 40.88616922400141),POINT (-73.85134868946037 40.88616922352607),31.786,85503,37.27,87064,55.867,FPC-624,61.224,80752,65.704,81199,62.978,85523,67.893,85521,72.547,87247,88.533,85434,92.151,FPC-488,108.801,82186,77.528,85517,90.525,FPC-457,121.619,80343,110.533,83916
36005040501,Bronx,BX0702,-73.89091356752841,40.8671630785114,POINT (-73.89091360076301 40.86716306641857),POINT (-73.89091356752841 40.8671630785114),33.808,87064,36.815,85503,34.422,FPC-624,41.469,80752,44.259,81199,43.791,85523,42.986,85521,51.28,87247,62.921,85434,68.192,FPC-488,56.319,85517,87.356,82186,69.08,FPC-457,97.947,80343,89.088,83916
36005040502,Bronx,BX0702,-73.88898421969014,40.865873756134185,POINT (-73.88898424130905 40.86587374953204),POINT (-73.88898421969014 40.86587375613419),34.752,87064,37.651,85503,37.209,FPC-624,44.256,80752,47.046,81199,46.578,85523,45.773,85521,54.067,87247,65.708,85434,70.979,FPC-488,59.106,85517,90.143,82186,71.867,FPC-457,100.734,80343,91.875,83916
36005040600,Bronx,BX1201,-73.85700531630167,40.88795096576188,POINT (-73.85700530401638 40.887950966715),POINT (-73.85700531630167 40.88795096576188),36.673,85503,31.515,87064,50.112,FPC-624,55.469,80752,59.949,81199,57.223,85523,62.138,85521,66.792,87247,82.778,85434,86.396,FPC-488,103.046,82186,71.773,85517,84.77,FPC-457,115.864,80343,104.778,83916
36005040701,Bronx,BX0702,-73.89025816637013,40.871580429169015,POINT (-73.89025817903699 40.87158043041297),POINT (-73.89025816637013 40.87158042916901),38.619,87064,41.964,85503,32.098,FPC-624,43.838,80752,41.935,81199,45.991,85523,46.586,85521,53.877,87247,64.764,85434,68.382,FPC-488,53.995,85517,85.032,82186,66.756,FPC-457,97.85,80343,86.764,83916
36005040702,Bronx,BX0702,-73.88699832461867,40.86914113054082,POINT (-73.88699828501422 40.86914111364134),POINT (-73.88699832461867 40.86914113054082),34.731,87064,39.465,85503,37.942,FPC-624,45.581,80752,47.779,81199,49.353,85523,48.548,85521,56.842,87247,68.483,85434,73.754,FPC-488,59.839,85517,90.876,82186,72.6,FPC-457,103.509,80343,92.608,83916
