GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5
36005033202,Bronx,BX1104,-73.86893158475525,40.86337826331794,POINT (-73.86893158666959 40.86337824734436),POINT (-73.86893158475525 40.86337826331794),44.342,FPC-624,52.93,80518,55.944,81199,64.77,81458,92.545,FPC-609,92.545,Plentiful-1511
36005033601,Bronx,BX1104,-73.8688867334141,40.867567338161344,POINT (-73.86888673384601 40.867567319768256),POINT (-73.8688867334141 40.86756733816134),44.615,FPC-624,53.203,80518,56.217,81199,65.043,81458,92.818,FPC-609,92.818,Plentiful-1511
36005033602,Bronx,BX1201,-73.86888325351944,40.87058199304537,POINT (-73.86888325337095 40.8705819936858),POINT (-73.86888325351944 40.87058199304537),44.466,FPC-624,53.054,80518,56.068,81199,64.894,81458,92.669,FPC-609,92.669,Plentiful-1511
36005033801,Bronx,BX1104,-73.86584667868497,40.86757066616832,POINT (-73.86584668029941 40.86757064779388),POINT (-73.86584667868497 40.86757066616832),44.175,FPC-624,52.763,80518,55.777,81199,64.603,81458,92.378,FPC-609,92.378,Plentiful-1511
36005033802,Bronx,BX1201,-73.8657436240115,40.870548955894044,POINT (-73.86574362415949 40.87054895581226),POINT (-73.8657436240115 40.87054895589404),42.239,FPC-624,50.827,80518,53.841,81199,62.667,81458,90.442,FPC-609,90.442,Plentiful-1511
36005034000,Bronx,BX1104,-73.86292338632309,40.8684406032966,POINT (-73.86292338926589 40.868440564760924),POINT (-73.86292338632309 40.8684406032966),46.89,FPC-624,53.674,80518,56.688,81199,68.794,81458,96.569,FPC-609,96.569,Plentiful-1511
36005034200,Bronx,BX1104,-73.86002623794795,40.86841656207407,POINT (-73.86002624041643 40.868416524612975),POINT (-73.86002623794795 40.86841656207407),44.863,FPC-624,51.647,80518,54.661,81199,66.286,81458,94.061,FPC-609,94.061,Plentiful-1511
36005034300,Bronx,BX0803,-73.89817558261491,40.909687202434505,POINT (-73.89817557846206 40.90968718332199),POINT (-73.89817558261491 40.9096872024345),49.568,FPC-624,60.889,80518,63.141,81199,64.041,81458,97.635,FPC-609,97.635,Plentiful-1511
36005034400,Bronx,BX1103,-73.85713227711194,40.868364219116,POINT (-73.85713227980446 40.868364181450694),POINT (-73.85713227711194 40.868364219116),47.975,FPC-624,55.188,80518,58.202,81199,68.403,81458,96.178,FPC-609,96.178,Plentiful-1511
36005034800,Bronx,BX1103,-73.85306720893787,40.869448656816544,POINT (-73.85306718510553 40.86944859182155),POINT (-73.85306720893787 40.86944865681654),44.441,FPC-624,51.225,80518,54.239,81199,70.866,81458,94.516,FPC-609,94.516,Plentiful-1511
36005035600,Bronx,BX1202,-73.83600660196933,40.866963921885855,POINT (-73.83600645169409 40.866963916839886),POINT (-73.83600660196933 40.86696392188585),46.046,FPC-624,52.83,80518,55.844,81199,72.471,81458,96.121,FPC-609,96.121,Plentiful-1511
36005035900,Bronx,BX0601,-73.8833808105599,40.84020852914113,POINT (-73.88338078395273 40.8402085252127),POINT (-73.8833808105599 40.84020852914113),33.036,FPC-624,39.82,80518,42.834,81199,57.887,81458,83.111,FPC-609,83.111,Plentiful-1511
36005036000,Bronx,BX1103,-73.84310583525009,40.8668406753365,POINT (-73.84310580354166 40.866840684714354),POINT (-73.84310583525009 40.8668406753365),44.549,FPC-624,51.333,80518,54.347,81199,70.974,81458,94.624,FPC-609,94.624,Plentiful-1511
36005036300,Bronx,BX0601,-73.8827547012348,40.84453968217327,POINT (-73.88275471613656 40.84453966096329),POINT (-73.8827547012348 40.84453968217327),34.508,FPC-624,41.292,80518,44.306,81199,59.251,81458,84.583,FPC-609,84.583,Plentiful-1511
36005036400,Bronx,BX1202,-73.84921480783362,40.873617028033294,POINT (-73.84921478928511 40.87361701921988),POINT (-73.84921480783362 40.87361702803329),43.282,FPC-624,50.066,80518,53.08,81199,69.707,81458,93.357,FPC-609,93.357,Plentiful-1511
