GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26
36005006500,Bronx,BX0102,-73.9216593382031,40.817400561195726,POINT (-73.92165932062355 40.81740056075114),POINT (-73.9216593382031 40.81740056119573),21.009,81612,16.802,FPC-624,25.178,87064,27.535,81199,52.402,85024,53.103,FPC-599,29.732,85523,34.647,85521,39.301,87247,50.364,85434,59.629,84758,53.982,FPC-488,39.595,85517,71.358,84801,57.325,85495,70.611,83514,70.632,82186,68.873,84980,76.012,83351,70.946,85322,52.356,FPC-457,69.886,84948,62.338,FPC-710,62.338,FPC-710,62.338,81559,62.338,81559,72.364,83916
36005006800,Bronx,BX0901,-73.87050005078487,40.828964188537974,POINT (-73.87050006300834 40.82896418001878),POINT (-73.87050005078487 40.82896418853797),12.394,87064,42.803,81612,28.879,FPC-624,55.681,FPC-599,67.363,85024,41.97,81199,46.552,85523,49.725,85521,53.35,87247,86.319,84801,65.325,85434,83.834,84980,74.59,84758,68.943,FPC-488,85.572,83514,90.973,83351,85.593,82186,72.286,85495,54.556,85517,85.907,85322,67.317,FPC-457,84.847,84948,77.299,FPC-710,77.299,FPC-710,77.299,81559,77.299,81559,87.325,83916
36005007000,Bronx,BX0901,-73.86562184144137,40.82981783186486,POINT (-73.8656218498109 40.82981781918415),POINT (-73.86562184144137 40.82981783186486),13.791,87064,42.71,81612,28.786,FPC-624,55.04,FPC-599,67.27,85024,41.877,81199,46.459,85523,49.632,85521,53.257,87247,86.226,84801,83.198,84980,65.232,85434,74.497,84758,90.88,83351,85.479,83514,68.85,FPC-488,85.5,82186,72.193,85495,54.463,85517,85.814,85322,67.224,FPC-457,84.754,84948,77.206,FPC-710,77.206,FPC-710,77.206,81559,77.206,81559,87.232,83916
36005007200,Bronx,BX0903,-73.86068254469788,40.83103774285829,POINT (-73.86068255279345 40.83103773228186),POINT (-73.86068254469788 40.83103774285829),9.986,87064,44.442,81612,49.248,FPC-599,30.518,FPC-624,63.85,85024,43.609,81199,48.191,85523,51.364,85521,77.406,84980,54.989,87247,87.958,84801,66.964,85434,86.092,83351,76.229,84758,87.211,83514,70.582,FPC-488,87.232,82186,73.925,85495,56.195,85517,87.546,85322,68.956,FPC-457,86.486,84948,78.938,FPC-710,78.938,FPC-710,78.938,81559,78.938,81559,88.964,83916
36005007400,Bronx,BX0903,-73.85286230548266,40.819475609380504,POINT (-73.85286228510162 40.819475568516346),POINT (-73.85286230548266 40.8194756093805),22.075,87064,58.212,FPC-599,38.283,FPC-624,48.549,81612,72.814,85024,51.374,81199,86.37,84980,95.723,84801,55.28,85523,59.129,85521,95.056,83351,62.754,87247,94.976,83514,83.994,84758,74.729,85434,78.347,FPC-488,94.997,82186,81.69,85495,63.96,85517,95.311,85322,76.721,FPC-457,94.251,84948,86.703,FPC-710,86.703,FPC-710,86.703,81559,86.703,81559,96.729,83916
36005007600,Bronx,BX0901,-73.86765588268132,40.833378730421366,POINT (-73.8676558733603 40.833378732493905),POINT (-73.86765588268132 40.83337873042137),7.963,87064,41.055,81612,27.131,FPC-624,52.13,FPC-599,65.615,85024,40.222,81199,44.804,85523,47.977,85521,51.602,87247,84.571,84801,80.288,84980,63.577,85434,72.842,84758,67.195,FPC-488,83.824,83514,88.974,83351,83.845,82186,70.538,85495,52.808,85517,84.159,85322,65.569,FPC-457,83.099,84948,75.551,FPC-710,75.551,FPC-710,75.551,81559,75.551,81559,85.577,83916
36005007800,Bronx,BX0903,-73.85264948016206,40.82913107880033,POINT (-73.85264945222778 40.829131099568706),POINT (-73.85264948016206 40.82913107880033),17.992,87064,48.732,FPC-599,50.519,81612,36.595,FPC-624,63.334,85024,49.686,81199,76.89,84980,54.268,85523,57.441,85521,94.035,84801,61.066,87247,85.576,83351,93.288,83514,73.041,85434,82.306,84758,76.659,FPC-488,93.309,82186,80.002,85495,62.272,85517,93.623,85322,75.033,FPC-457,92.563,84948,85.015,FPC-710,85.015,FPC-710,85.015,81559,85.015,81559,95.041,83916
36005007900,Bronx,BX0102,-73.90486728032944,40.81579029733591,POINT (-73.90486731220244 40.81579026132582),POINT (-73.90486728032944 40.81579029733591),21.469,FPC-624,22.808,87064,29.047,81612,58.345,FPC-599,57.644,85024,32.777,81199,33.07,85523,37.985,85521,42.639,87247,55.606,85434,64.871,84758,59.224,FPC-488,76.6,84801,44.837,85517,75.853,83514,75.874,82186,62.567,85495,74.115,84980,81.254,83351,76.188,85322,57.598,FPC-457,75.128,84948,67.58,FPC-710,67.58,FPC-710,67.58,81559,67.58,81559,77.606,83916
36005008300,Bronx,BX0202,-73.90184052770405,40.81367618617941,POINT (-73.90184053404157 40.813676154453475),POINT (-73.90184052770405 40.81367618617941),23.585,87064,19.345,FPC-624,28.072,81612,58.222,FPC-599,57.829,85024,32.436,81199,35.196,85523,40.111,85521,43.816,87247,55.791,85434,65.056,84758,59.409,FPC-488,76.785,84801,76.038,83514,45.022,85517,76.059,82186,62.752,85495,74.3,84980,81.439,83351,76.373,85322,57.783,FPC-457,75.313,84948,67.765,FPC-710,67.765,FPC-710,67.765,81559,67.765,81559,77.791,83916
36005008400,Bronx,BX0903,-73.84776170343328,40.81560634761485,POINT (-73.84776170830655 40.815606353764146),POINT (-73.84776170343328 40.81560634761485),24.889,87064,55.697,FPC-599,70.299,85024,43.322,FPC-624,55.051,81612,56.413,81199,83.855,84980,100.762,84801,92.541,83351,60.995,85523,64.168,85521,100.015,83514,67.793,87247,89.033,84758,79.768,85434,100.036,82186,83.386,FPC-488,86.729,85495,68.999,85517,100.35,85322,81.76,FPC-457,99.29,84948,91.742,FPC-710,91.742,FPC-710,91.742,81559,91.742,81559,101.768,83916
