GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11
36061013501,Manhattan,MN0402,-73.99423854520315,40.76748004394332,POINT (-73.99423848617201 40.76748004076121),POINT (-73.99423854520315 40.76748004394332),28.039,87247,23.127,81199,26.407,FPC-482,39.008,FPC-624,51.542,85351,58.051,83630,47.552,85357,64.179,84949,42.564,FPC-605,64.14,FPC-432,53.872,85251,80.117,83916
36061013502,Manhattan,MN0402,-73.99238622786636,40.76999221965777,POINT (-73.99238618351383 40.76999221894222),POINT (-73.99238622786636 40.76999221965777),19.701,81199,25.504,87247,24.574,FPC-482,35.153,FPC-624,50.8,85351,44.126,85357,54.625,83630,60.753,84949,43.319,FPC-605,60.714,FPC-432,54.627,85251,79.154,83916
36005014500,Bronx,BX0302,-73.90702688037584,40.83151458001226,POINT (-73.9070268765715 40.831514576295596),POINT (-73.90702688037584 40.83151458001226),37.916,85357,31.493,FPC-624,39.603,FPC-482,66.864,FPC-605,41.066,81199,50.989,87247,73.45,83630,69.625,85351,78.172,85251,86.939,FPC-432,81.41,84949,94.644,83916
36005014701,Bronx,BX0302,-73.90533001347269,40.834231625224255,POINT (-73.90533000297557 40.834231628679134),POINT (-73.90533001347269 40.83423162522426),41.487,85357,33.228,FPC-624,41.338,FPC-482,68.599,FPC-605,42.801,81199,52.724,87247,75.185,83630,71.36,85351,79.907,85251,88.674,FPC-432,83.145,84949,96.379,83916
36081001903,Queens,QN0201,-73.94682450890477,40.75060308800096,POINT (-73.94682448284867 40.75060309094711),POINT (-73.94682450890477 40.75060308800096),19.605,81199,31.882,87247,38.865,FPC-482,38.688,FPC-624,32.797,85351,50.202,83630,31.26,FPC-605,60.358,84949,58.363,FPC-432,60.016,85357,42.568,85251,82.59,83916
36081003301,Queens,QN0105,-73.93893220707399,40.7514153504801,POINT (-73.93893215812552 40.75141535685248),POINT (-73.93893220707399 40.7514153504801),19.427,81199,30.688,FPC-624,28.356,87247,35.299,FPC-482,32.447,85351,49.852,83630,25.421,FPC-605,58.013,FPC-432,60.008,84949,56.45,85357,39.999,85251,78.689,83916
36061011500,Manhattan,MN0402,-73.99354886237961,40.75716777967803,POINT (-73.99354883727322 40.757167782016),POINT (-73.99354886237961 40.75716777967803),19.338,87247,21.447,81199,25.46,FPC-482,34.524,FPC-624,45.183,85351,49.427,83630,56.051,84949,45.479,85357,39.213,FPC-605,54.589,FPC-432,50.521,85251,72.767,83916
36081008800,Queens,QN1002,-73.83877397075739,40.6707768731538,POINT (-73.83877390972317 40.670776842712954),POINT (-73.83877397075739 40.6707768731538),35.749,85251,28.385,FPC-432,40.049,83630,55.486,FPC-605,56.783,84949,56.158,85351,64.762,81199,79.393,FPC-624,66.325,87247,78.071,FPC-482,95.884,85357,98.502,83916
36081006202,Queens,QN1003,-73.85471151958056,40.665643648355385,POINT (-73.85471165578336 40.66564332799717),POINT (-73.85471151958056 40.66564364835538),26.474,FPC-432,42.339,85251,44.606,83630,69.01,FPC-605,54.872,84949,55.412,85351,72.507,81199,65.613,87247,79.434,FPC-624,77.359,FPC-482,95.172,85357,97.79,83916
36061015900,Manhattan,MN0701,-73.9845373735384,40.77965059771135,POINT (-73.98453735481365 40.77965060466582),POINT (-73.9845373735384 40.77965059771135),16.364,FPC-482,23.444,81199,22.584,87247,25.939,FPC-624,50.063,85351,35.706,85357,53.998,83630,45.376,FPC-605,55.109,84949,60.92,FPC-432,56.684,85251,71.828,83916
