GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9
36047002200,Brooklyn,BK0702,-74.02173854867148,40.643437040944406,POINT (-74.02173865529356 40.64343697442769),POINT (-74.02173854867148 40.64343704094441),11.792,FPC-500,18.326,FPC-656,32.07,81586,41.02,FPC-640,43.118,85326,41.106,85468,41.106,FPC-631,41.265,FPC-632,41.265,Plentiful-1480,41.411,85386
36047002300,Brooklyn,BK0202,-73.98327529825707,40.69956362506822,POINT (-73.98327529363927 40.69956362542647),POINT (-73.98327529825707 40.69956362506822),13.401,FPC-626,18.888,84461,19.063,80491,20.322,FPC-488,21.858,87290,22.697,81458,24.184,82998,24.298,85471,25.828,FPC-559,29.66,85250
36047002901,Brooklyn,BK0203,-73.97810132293677,40.694975878869904,POINT (-73.97810131496924 40.69497587430206),POINT (-73.97810132293677 40.6949758788699),21.283,FPC-488,19.298,FPC-626,24.785,84461,24.96,80491,31.254,85250,31.669,80421,27.755,87290,31.82,FPC-190,26.539,81458,28.026,82998
36047003000,Brooklyn,BK1001,-74.02897626381956,40.638876384910276,POINT (-74.0289762785789 40.63887637464973),POINT (-74.02897626381956 40.63887638491028),15.265,FPC-500,23.054,FPC-656,30.228,81586,39.942,85326,41.069,FPC-640,31.334,84301,47.079,85468,47.079,FPC-631,47.238,FPC-632,47.238,Plentiful-1480
36047003101,Brooklyn,BK0203,-73.97970042572295,40.691693294728715,POINT (-73.97970041568236 40.69169328573779),POINT (-73.97970042572295 40.69169329472872),18.344,FPC-488,19.054,FPC-626,23.428,84461,29.03,85250,24.063,80491,31.831,80421,22.677,81157,26.192,87290,28.584,FPC-190,26.028,82998
36047003102,Brooklyn,BK0203,-73.97548823326527,40.691530546207424,POINT (-73.97548822358046 40.691530536124766),POINT (-73.97548823326527 40.69153054620742),17.154,FPC-488,27.131,85250,23.181,FPC-626,28.668,84461,30.641,80421,28.843,80491,27.697,FPC-190,26.794,81157,31.251,84761,31.194,85386
36047003300,Brooklyn,BK0203,-73.97810379050921,40.68851088717045,POINT (-73.97810377228703 40.68851089298217),POINT (-73.97810379050921 40.68851088717045),12.535,FPC-488,20.887,FPC-626,23.221,85250,25.089,84461,25.724,80491,19.706,81157,26.022,80421,22.909,FPC-190,24.163,84761,26.698,85386
36047003400,Brooklyn,BK1001,-74.03361935347225,40.63943393019083,POINT (-74.03361939527261 40.63943387288596),POINT (-74.03361935347225 40.63943393019083),21.361,FPC-500,27.724,FPC-656,33.471,81586,42.295,85326,33.687,84301,45.566,FPC-640,33.182,FPC-619,50.668,85468,50.668,FPC-631,50.827,FPC-632
36047003500,Brooklyn,BK0203,-73.97618042168669,40.685324620608114,POINT (-73.97618040724088 40.68532461289268),POINT (-73.97618042168669 40.68532462060811),11.371,FPC-488,21.393,85250,22.736,FPC-626,16.893,81157,21.35,84761,23.155,85386,22.485,FPC-190,24.858,80421,24.965,84461,27.327,FPC-640
36047003600,Brooklyn,BK1001,-74.03089773661705,40.634686330182795,POINT (-74.03089775068112 40.63468631382917),POINT (-74.03089773661705 40.6346863301828),18.862,FPC-500,25.907,FPC-656,31.654,81586,42.182,85326,34.069,84301,43.607,FPC-640,33.564,FPC-619,48.851,85468,48.851,FPC-631,49.01,FPC-632
36047003700,Brooklyn,BK0202,-73.98468864198325,40.689389445639755,POINT (-73.9846885589255 40.68938945713947),POINT (-73.98468864198325 40.68938944563975),13.381,FPC-488,16.772,FPC-626,22.259,84461,22.434,80491,24.067,85250,22.308,85471,22.98,82998,21.427,81458,25.229,87290,20.884,81157
36047003800,Brooklyn,BK1001,-74.03574420008867,40.63442134201284,POINT (-74.03574418869121 40.634421351191754),POINT (-74.03574420008867 40.63442134201284),21.602,FPC-500,29.391,FPC-656,38.664,85326,29.352,81586,30.056,84301,29.551,FPC-619,45.757,FPC-640,52.417,85468,52.417,FPC-631,52.576,FPC-632
36047003900,Brooklyn,BK0202,-73.98083406324548,40.68490574492088,POINT (-73.98083405922904 40.68490573845778),POINT (-73.98083406324548 40.68490574492088),15.224,FPC-488,22.609,FPC-626,25.91,85250,24.672,84461,17.268,81157,25.307,80491,23.827,85386,21.725,84761,27.999,FPC-640,21.49,FPC-656
36047004100,Brooklyn,BK0202,-73.98505315871553,40.686599768522036,POINT (-73.98505315593401 40.68659976496113),POINT (-73.98505315871553 40.68659976852204),12.849,FPC-488,18.979,FPC-626,24.466,84461,24.641,80491,23.535,85250,23.966,FPC-656,22.562,85471,19.744,81157,22.448,82998,28.562,FPC-640
36047004300,Brooklyn,BK0202,-73.98959602906066,40.68819890674424,POINT (-73.98959602803939 40.688198908140436),POINT (-73.98959602906066 40.68819890674424),16.325,FPC-626,14.299,FPC-488,21.812,84461,21.987,80491,23.687,85471,23.573,82998,22.086,81458,28.096,FPC-656,24.782,87290,24.985,85250
36047004400,Brooklyn,BK1001,-74.03598240659522,40.630808443011325,POINT (-74.03598239615602 40.630808449398714),POINT (-74.03598240659522 40.63080844301133),22.061,FPC-500,27.6,FPC-656,26.81,81586,38.656,85326,30.048,84301,29.543,FPC-619,46.879,FPC-640,50.544,85468,50.544,FPC-631,50.703,FPC-632
36047004500,Brooklyn,BK0601,-73.9952865126845,40.688146281316854,POINT (-73.99528652175961 40.68814626704575),POINT (-73.9952865126845 40.68814628131685),19.818,FPC-626,25.305,84461,29.48,85471,25.48,80491,17.792,FPC-488,29.366,82998,27.879,81458,32.316,FPC-656,28.275,87290,29.055,FPC-500
36047004600,Brooklyn,BK1001,-74.0362977621036,40.62698941264261,POINT (-74.03629775080329 40.62698945996121),POINT (-74.0362977621036 40.62698941264261),24.812,FPC-500,28.045,81586,38.2,85326,30.351,FPC-656,30.326,84301,29.821,FPC-619,49.154,FPC-640,49.718,85468,49.718,FPC-631,31.567,84213
36047004700,Brooklyn,BK0601,-74.00163732255159,40.688482626190904,POINT (-74.00163737226865 40.68848259885455),POINT (-74.00163732255159 40.6884826261909),25.236,FPC-626,28.305,85471,30.723,84461,30.898,80491,29.918,82998,28.471,81458,36.719,FPC-656,33.458,FPC-500,25.38,FPC-488,32.992,87290
36047004900,Brooklyn,BK0601,-73.99843651915546,40.6879986481396,POINT (-73.99843656098831 40.68799860864415),POINT (-73.99843651915546 40.6879986481396),22.738,FPC-626,32.083,85471,28.225,84461,28.4,80491,32.342,82998,34.305,FPC-656,30.855,81458,20.712,FPC-488,31.044,FPC-500,31.195,87290
36047005000,Brooklyn,BK1001,-74.03755639276297,40.62413343258334,POINT (-74.03755639471481 40.624133449596776),POINT (-74.03755639276297 40.62413343258334),22.409,FPC-500,25.642,81586,35.797,85326,27.948,FPC-656,27.923,84301,27.418,FPC-619,46.751,FPC-640,29.164,84213,47.315,85468,47.315,FPC-631
