GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24
36081129103,Queens,QN1104,-73.7597222364899,40.73669472115657,POINT (-73.75972226543536 40.736694682298854),POINT (-73.75972223648991 40.73669472115657),33.704,85323,42.553,84980,44.063,FPC-139,40.167,85510,36.134,FPC-152,46.764,84665,50.25,FPC-708,28.919,85520,35.679,84607,35.883,85467,31.511,85436,34.546,85457,59.573,FPC-149,63.673,83351,46.124,84603,68.787,85163,50.391,FPC-599,53.036,85024,88.725,FPC-349,83.0,FPC-666,74.164,84801,87.117,83514,90.198,84728,80.858,87064,94.259,84599
36061023300,Manhattan,MN0903,-73.94997079357437,40.82850407580562,POINT (-73.94997076585123 40.8285040831507),POINT (-73.94997079357437 40.82850407580562),7.518,Plentiful-1365,18.296,81612,15.51,80519,17.241,81727,17.206,81608,22.282,80474,22.282,84451,20.454,81123,14.225,85475,14.488,82861,27.529,87090,29.994,DSNY-BRS-1262,21.053,80801,30.709,FPC-624,22.415,83311,31.435,85294,32.816,FPC-530,32.201,FPC-418,29.469,85239,36.429,85518,39.333,FPC-493,30.587,83918,41.919,85379,28.838,85541,23.037,85431
36061023700,Manhattan,MN0903,-73.94759762488748,40.83144140741758,POINT (-73.94759759077317 40.83144140796635),POINT (-73.94759762488748 40.83144140741758),8.111,Plentiful-1365,15.934,81612,18.648,80519,17.834,81727,15.857,81608,24.951,87090,22.06,80474,22.06,84451,21.047,81123,30.587,DSNY-BRS-1262,14.818,85475,15.081,82861,28.902,85294,21.646,80801,31.265,FPC-624,29.255,FPC-530,30.554,FPC-418,27.822,85239,23.008,83311,32.49,83918,34.782,85518,30.741,85541,38.441,FPC-493,41.418,85379,21.688,85431
36005041400,Bronx,BX1203,-73.85411672211059,40.90372569101339,POINT (-73.85411680789532 40.903725611351895),POINT (-73.85411672211059 40.90372569101339),19.037,83304,24.179,85339,32.921,85433,30.399,83550,30.399,80121,34.1,FPC-666,35.046,DSNY-BRS-2184,35.773,85545,37.805,87064,47.566,85431,34.749,85387,46.357,80081,41.923,85239,47.247,85541,54.024,FPC-349,48.662,83918,46.088,84728,45.987,85472,51.003,87090,51.819,85294,51.927,81608,49.359,FPC-530,41.1,FPC-418,43.664,85518,56.623,81612
36005041800,Bronx,BX1203,-73.85848896465541,40.89712500873633,POINT (-73.85848898424773 40.89712499691755),POINT (-73.85848896465541 40.89712500873633),17.648,83304,20.53,85339,30.782,85433,29.01,80121,29.01,83550,32.711,FPC-666,33.657,DSNY-BRS-2184,34.384,85545,36.416,87064,43.917,85431,33.36,85387,44.968,80081,38.274,85239,43.598,85541,45.013,83918,52.635,FPC-349,44.699,84728,44.598,85472,47.354,87090,48.17,85294,48.278,81608,47.97,FPC-530,39.711,FPC-418,42.275,85518,52.974,81612
36081053501,Queens,QN0501,-73.91260410534635,40.71647278456378,POINT (-73.91260411031229 40.71647273706508),POINT (-73.91260410534635 40.71647278456378),31.718,84105,28.221,FPC-659,21.369,DSNY-BRS-2179,33.881,81626,31.958,85363,23.725,80421,30.213,FPC-190,25.565,85024,35.643,85271,35.643,85271,35.643,83956,35.643,83956,38.767,80438,46.084,85483,34.306,FPC-583,44.518,87007,46.337,84944,43.335,FPC-709,41.667,84801,48.769,81460,34.635,FPC-488,41.836,83514,51.454,81157,43.785,84603,54.069,Plentiful-1544
36081052500,Queens,QN0501,-73.90663726054976,40.71896989916596,POINT (-73.90663725955311 40.71896991118776),POINT (-73.90663726054976 40.71896989916596),28.751,84105,22.069,85024,29.753,FPC-659,22.901,DSNY-BRS-2179,33.49,85363,36.217,81626,25.257,80421,37.175,83956,37.175,85271,37.175,85271,37.175,83956,31.745,FPC-190,42.588,85483,40.299,80438,43.199,84801,41.022,87007,35.838,FPC-583,40.289,84603,47.869,84944,44.867,FPC-709,41.733,FPC-599,50.301,81460,43.368,83514,36.167,FPC-488,52.986,81157
36081059502,Queens,QN0501,-73.90871048745983,40.71524900609233,POINT (-73.90871047283582 40.71524899699234),POINT (-73.90871048745983 40.71524900609233),34.316,84105,29.953,FPC-659,25.685,DSNY-BRS-2179,34.473,85363,33.937,81626,28.672,85024,26.948,80421,39.915,85271,39.915,85271,39.915,83956,39.915,83956,34.529,FPC-190,43.039,80438,49.093,85483,45.939,84801,37.574,FPC-583,50.653,84944,47.651,FPC-709,47.625,87007,53.041,81460,46.108,83514,46.52,84603,36.364,FPC-488,48.336,FPC-599,55.77,81157
36005016500,Bronx,BX0302,-73.90028931879107,40.84309005395791,POINT (-73.90028929881689 40.84309006572166),POINT (-73.90028931879107 40.84309005395791),10.532,80081,14.628,85541,15.906,83918,24.067,85387,21.615,85239,20.958,85545,22.081,DSNY-BRS-2184,22.478,85294,32.789,87090,24.91,87064,21.767,80121,21.767,83550,22.223,FPC-530,34.058,85472,27.405,85433,35.577,85431,34.429,84728,22.442,FPC-418,26.848,85518,35.598,81608,36.364,81612,36.35,85339,33.02,83304,46.083,FPC-349,41.493,Plentiful-1365
36005016700,Bronx,BX0302,-73.90217320098341,40.84048166683579,POINT (-73.90217317158071 40.8404816605549),POINT (-73.90217320098341 40.84048166683579),6.659,80081,10.663,85541,14.639,83918,22.244,85239,19.654,85387,20.993,85294,21.942,85545,23.065,DSNY-BRS-2184,20.278,FPC-530,28.824,87090,30.272,85472,20.497,87064,20.003,FPC-418,24.409,85518,24.165,80121,24.165,83550,30.072,84728,37.975,85431,29.053,85433,37.824,81608,32.981,81612,37.998,85339,41.67,FPC-349,38.11,Plentiful-1365,34.192,83304
