GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19
36081045800,Queens,QN0804,-73.7909258614646,40.71525982703173,POINT (-73.79092590458242 40.7152597661121),POINT (-73.7909258614646 40.71525982703173),11.424,80904,44.459,84611,45.645,FPC-223,51.223,84354,71.301,87064,72.374,85298,54.12,85083,57.831,FPC-624,59.546,FPC-488,43.834,81199,65.771,85434,45.739,85521,51.286,87247,48.671,85523,83.986,82785,100.797,80343,63.42,85517,76.181,FPC-457,96.189,83916,93.095,85380
36081046200,Queens,QN1201,-73.78797695683234,40.70985573072957,POINT (-73.78797695416436 40.70985572390568),POINT (-73.78797695683234 40.70985573072957),10.916,80904,44.576,84611,45.762,FPC-223,51.34,84354,71.789,87064,54.513,85083,72.767,85298,59.939,FPC-488,58.224,FPC-624,44.227,81199,66.164,85434,46.132,85521,51.679,87247,49.064,85523,84.379,82785,101.19,80343,63.813,85517,76.574,FPC-457,96.582,83916,93.488,85380
36081046600,Queens,QN0804,-73.78508965070594,40.714010684469685,POINT (-73.7850896902385 40.71401068963638),POINT (-73.78508965070594 40.71401068446968),12.272,80904,45.659,84611,46.845,FPC-223,52.423,84354,71.8,87064,72.722,85298,54.468,85083,58.179,FPC-624,59.894,FPC-488,44.182,81199,66.119,85434,46.087,85521,51.634,87247,49.019,85523,84.334,82785,101.145,80343,63.768,85517,76.529,FPC-457,96.537,83916,93.443,85380
36061022700,Manhattan,MN0903,-73.94646250393997,40.82296629202769,POINT (-73.94646250032982 40.82296629203275),POINT (-73.94646250393997 40.82296629202769),24.807,FPC-624,27.185,85298,31.62,81199,41.111,87064,28.243,85523,28.126,85521,36.136,87247,48.113,85083,46.731,85434,43.241,85517,51.463,FPC-488,63.428,84354,63.029,84611,62.272,FPC-223,60.572,80904,56.918,FPC-457,64.946,82785,81.757,80343,74.209,83916,68.965,85380
36061025900,Manhattan,MN1002,-73.94235701088448,40.823213973700966,POINT (-73.9423570726482 40.82321394212055),POINT (-73.94235701088448 40.82321397370097),23.064,FPC-624,25.442,85298,37.523,87064,29.877,81199,26.5,85523,26.383,85521,34.393,87247,46.37,85083,44.988,85434,49.72,FPC-488,41.498,85517,61.685,84354,61.286,84611,60.529,FPC-223,58.829,80904,63.203,82785,55.175,FPC-457,80.014,80343,72.466,83916,67.222,85380
36061006000,Manhattan,MN0601,-73.97658160379169,40.73466830134636,POINT (-73.9765815773967 40.734668299279974),POINT (-73.97658160379169 40.73466830134636),17.791,87247,21.229,85434,19.593,85521,29.102,85083,22.751,85523,23.896,81199,18.512,85517,33.78,FPC-488,41.38,84354,36.157,FPC-624,28.315,FPC-457,40.477,FPC-223,45.369,82785,41.687,84611,50.723,85298,57.173,87064,56.944,80343,57.499,80904,47.088,83916,50.468,85380
36005001901,Bronx,BX0101,-73.9280732830687,40.80677622068868,POINT (-73.92807326747182 40.806776211676556),POINT (-73.9280732830687 40.80677622068868),10.969,FPC-624,22.886,85298,31.555,87064,27.688,81199,31.744,85523,48.395,85083,35.81,85521,39.63,87247,50.517,85434,61.735,84354,54.135,FPC-488,39.748,85517,62.042,84611,60.832,FPC-223,62.615,80904,69.75,82785,52.509,FPC-457,83.603,80343,72.517,83916,73.584,85380
36081015500,Queens,QN0104,-73.91759666216183,40.760034860591105,POINT (-73.91759672006447 40.76003483377319),POINT (-73.91759666216183 40.76003486059111),37.985,FPC-624,33.342,85083,24.459,81199,28.193,85521,30.112,85523,52.877,84354,52.528,85298,33.74,87247,47.074,85434,39.089,FPC-488,59.392,84611,60.554,87064,57.299,FPC-223,43.574,85517,42.612,80904,65.901,82785,56.335,FPC-457,82.712,80343,76.343,83916,74.939,85380
36081015900,Queens,QN0104,-73.9183423210829,40.755786609007615,POINT (-73.91834235475598 40.755786595328296),POINT (-73.9183423210829 40.75578660900761),30.224,85083,34.867,FPC-624,21.341,81199,49.759,84354,25.075,85521,26.994,85523,30.622,87247,43.956,85434,49.41,85298,35.971,FPC-488,56.274,84611,54.181,FPC-223,57.436,87064,40.456,85517,39.494,80904,62.783,82785,53.217,FPC-457,79.594,80343,73.225,83916,71.821,85380
36061002000,Manhattan,MN0303,-73.97566235006471,40.72040540397053,POINT (-73.97566234222873 40.72040540235092),POINT (-73.97566235006471 40.72040540397053),9.639,85434,30.286,85083,27.428,87247,25.58,85521,34.964,FPC-488,28.238,85523,29.854,81199,27.438,85517,39.962,84354,37.241,FPC-457,44.778,82785,41.661,FPC-223,36.921,FPC-624,42.871,84611,61.589,80343,51.487,85298,59.513,87064,65.185,80904,56.014,83916,59.394,85380
36005009000,Bronx,BX0903,-73.84174283082999,40.821714156347326,POINT (-73.84174296077309 40.82171400584694),POINT (-73.84174283082999 40.82171415634733),24.87,87064,40.047,85298,43.303,FPC-624,78.048,80904,56.394,81199,77.627,85083,91.274,84611,90.967,84354,90.064,FPC-223,60.976,85523,64.149,85521,67.774,87247,79.749,85434,83.367,FPC-488,68.98,85517,98.982,82785,81.741,FPC-457,112.835,80343,101.749,83916,102.816,85380
36005009800,Bronx,BX0903,-73.84951181726301,40.82545028585335,POINT (-73.84951186115198 40.82545031959833),POINT (-73.84951181726301 40.82545028585335),18.859,87064,32.668,85298,37.292,FPC-624,69.928,80904,50.383,81199,71.616,85083,85.263,84611,84.956,84354,54.437,85523,58.138,85521,84.053,FPC-223,61.763,87247,73.738,85434,77.356,FPC-488,62.969,85517,92.971,82785,75.73,FPC-457,106.824,80343,95.738,83916,96.805,85380
36081000101,Queens,QN0201,-73.95877029630002,40.741365154403546,POINT (-73.95877032331876 40.741365126318755),POINT (-73.95877029630002 40.74136515440355),22.69,85083,25.36,81199,25.51,85521,30.126,87247,45.479,85434,19.781,85523,31.002,FPC-488,35.974,85517,34.84,FPC-624,44.79,84354,49.212,FPC-223,51.305,84611,49.405,85298,57.814,82785,48.735,FPC-457,57.431,87064,74.625,80343,49.977,80904,68.743,83916,68.188,85380
36081107201,Queens,QN1403,-73.82198091891699,40.60363689170279,POINT (-73.82198151589846 40.60363638070702),POINT (-73.82198091891699 40.60363689170279),52.959,84611,51.341,FPC-223,60.894,80904,55.438,84354,80.055,80343,79.382,82785,60.201,FPC-488,76.74,85083,72.918,85434,80.227,FPC-457,75.851,81199,76.298,87247,70.198,85517,73.727,85521,77.289,85523,90.271,FPC-624,112.538,87064,104.942,85298,101.009,83916,102.423,85380
36081107202,Queens,QN8491,-73.81381480486095,40.61691397723328,POINT (-73.81381488576406 40.61691366067771),POINT (-73.81381480486095 40.61691397723328),62.301,80904,51.513,84611,49.895,FPC-223,53.992,84354,84.853,80343,58.755,FPC-488,77.936,82785,75.294,85083,71.472,85434,78.781,FPC-457,77.258,81199,74.852,87247,72.281,85521,68.752,85517,88.825,FPC-624,75.843,85523,111.522,87064,103.496,85298,99.563,83916,100.977,85380
36005020100,Bronx,BX0402,-73.92695650252155,40.84211085867411,POINT (-73.92695652440268 40.842110826193704),POINT (-73.92695650252155 40.84211085867411),26.59,85298,28.125,FPC-624,34.965,87064,37.962,81199,40.26,85523,43.001,85521,58.669,85083,48.153,87247,60.791,85434,72.009,84354,64.409,FPC-488,50.022,85517,72.316,84611,71.106,FPC-223,72.889,80904,80.024,82785,62.783,FPC-457,93.877,80343,82.791,83916,83.858,85380
36005020501,Bronx,BX0501,-73.92366435919418,40.84745221348939,POINT (-73.92366439515536 40.84745219321225),POINT (-73.92366435919418 40.84745221348939),28.186,85298,28.476,FPC-624,34.526,87064,38.313,81199,37.605,85523,42.629,85521,59.02,85083,45.498,87247,59.769,85434,72.36,84354,64.501,FPC-488,50.373,85517,72.667,84611,71.457,FPC-223,73.24,80904,77.984,82785,63.134,FPC-457,94.228,80343,83.142,83916,82.003,85380
36061007900,Manhattan,MN0203,-74.00822134425559,40.739011812142074,POINT (-74.00822134798395 40.73901178746501),POINT (-74.00822134425559 40.73901181214207),20.393,87247,19.026,85521,17.412,85523,23.057,85517,31.871,85434,25.297,81199,30.275,85083,34.953,FPC-488,39.892,FPC-457,34.399,FPC-624,42.553,84354,50.086,82785,41.65,FPC-223,42.86,84611,48.178,85298,66.897,80343,58.988,83916,55.704,87064,60.967,85380,54.249,80904
36061009901,Manhattan,MN0401,-74.00749192381899,40.747493310957495,POINT (-74.007491962102 40.74749325144711),POINT (-74.00749192381899 40.74749331095749),17.871,87247,17.452,85523,19.254,85521,24.35,81199,33.957,85434,26.181,85517,34.946,85083,39.624,FPC-488,39.07,FPC-624,42.56,FPC-457,47.224,84354,52.172,82785,46.321,FPC-223,47.531,84611,51.043,85298,58.569,87064,68.983,80343,62.135,83916,59.086,85380,53.302,80904
36061014601,Manhattan,MN0803,-73.95216125580151,40.77719184190728,POINT (-73.95216123604727 40.777191846930535),POINT (-73.95216125580151 40.77719184190728),17.133,81199,18.015,FPC-624,16.932,85523,17.774,85521,39.187,85083,25.152,87247,39.637,85434,32.495,85298,44.927,FPC-488,30.54,85517,39.384,87064,52.35,84354,52.834,84611,51.624,FPC-223,57.852,82785,43.301,FPC-457,46.134,80904,69.83,80343,63.309,83916,64.376,85380
36061014602,Manhattan,MN0803,-73.95097544240276,40.77881479434526,POINT (-73.95097542447674 40.77881479655354),POINT (-73.95097544240276 40.77881479434526),17.215,81199,18.103,FPC-624,17.014,85523,17.856,85521,39.275,85083,25.234,87247,39.719,85434,32.583,85298,45.015,FPC-488,39.472,87064,30.628,85517,52.432,84354,52.922,84611,51.712,FPC-223,57.934,82785,43.389,FPC-457,46.216,80904,69.912,80343,63.397,83916,64.464,85380
36061014802,Manhattan,MN0802,-73.95443072940378,40.7810925615158,POINT (-73.95443073678867 40.781092553975185),POINT (-73.95443072940378 40.7810925615158),13.587,81199,13.739,FPC-624,18.26,85523,21.305,85521,24.967,87247,34.911,85083,37.033,85434,28.219,85298,40.651,FPC-488,35.108,87064,26.264,85517,48.251,84354,48.558,84611,47.348,FPC-223,56.266,82785,39.025,FPC-457,47.834,80904,70.119,80343,59.033,83916,60.1,85380
36061026100,Manhattan,MN1201,-73.9344549774497,40.84578451124143,POINT (-73.93445500516447 40.8457844930207),POINT (-73.9344549774497 40.84578451124143),33.322,85298,31.635,FPC-624,41.697,87064,41.374,81199,34.25,85523,36.419,85521,42.143,87247,58.105,85083,53.559,85434,58.291,FPC-488,49.577,85517,70.256,84354,69.857,84611,69.1,FPC-223,70.564,80904,71.774,82785,63.746,FPC-457,88.585,80343,81.037,83916,75.793,85380
