GEOID,TCoL_2021,TCoL_2023,TCoL_mapping
36081044302,92275,115496,Queens
36081044400,92275,115496,Queens
36081044601,92275,115496,Queens
36081044602,92275,115496,Queens
36081044800,92275,115496,Queens
36081045000,92275,115496,Queens
36081045600,92275,115496,Queens
36081045700,92275,115496,Queens
36081045900,92275,115496,Queens
36081046000,92275,115496,Queens
36081046100,92275,115496,Queens
36081046400,92275,115496,Queens
36081046500,92275,115496,Queens
36081046700,92275,115496,Queens
36081046800,92275,115496,Queens
36081046901,92275,115496,Queens
36081046902,92275,115496,Queens
36081047000,92275,115496,Queens
36081047200,92275,115496,Queens
36081047300,92275,115496,Queens
36081047801,92275,115496,Queens
36081047802,92275,115496,Queens
36081048000,92275,115496,Queens
36081048100,92275,115496,Queens
36081048200,92275,115496,Queens
36081048400,92275,115496,Queens
36081049201,92275,115496,Queens
36081049202,92275,115496,Queens
36081049301,92275,115496,Queens
36081049302,92275,115496,Queens
36081049500,92275,115496,Queens
36081049600,92275,115496,Queens
36081049700,92275,115496,Queens
36081050000,92275,115496,Queens
36081050201,92275,115496,Queens
36081050202,92275,115496,Queens
36081050400,92275,115496,Queens
36081050500,92275,115496,Queens
36081050600,92275,115496,Queens
36081050800,92275,115496,Queens
36081051000,92275,115496,Queens
36081051200,92275,115496,Queens
36081051300,92275,115496,Queens
36081051600,92275,115496,Queens
36081051700,92275,115496,Queens
36081051800,92275,115496,Queens
36081052000,92275,115496,Queens
36081052100,92275,115496,Queens
36081052200,92275,115496,Queens
36081052400,92275,115496,Queens
36081052600,92275,115496,Queens
36081052800,92275,115496,Queens
36081053000,92275,115496,Queens
36081053100,92275,115496,Queens
36081053200,92275,115496,Queens
36081053401,92275,115496,Queens
36081053601,92275,115496,Queens
36081053800,92275,115496,Queens
36081053901,92275,115496,Queens
36081053902,92275,115496,Queens
36081054000,92275,115496,Queens
36081054200,92275,115496,Queens
36081054500,92275,115496,Queens
36081054700,92275,115496,Queens
