GEOID,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty
36005025600,50980,141417,1464,0.6742,0.0821
36005025700,39784,91375,1793,0.3168,0.2002
36005026100,54648,84813,2114,0.4015,0.1346
36005026300,32379,103345,7124,0.2498,0.1916
36005026400,61014,85302,6643,0.8142,0.1269
36005026500,53177,75559,7505,0.3889,0.1851
36005026601,52619,87702,3305,0.5886,0.1189
36005026602,41528,92065,5033,0.3955,0.1868
36005026701,46123,95877,3639,0.1535,0.2132
36005026702,46098,26860,8183,0.3987,0.3294
36005026900,27670,72321,4072,0.2928,0.2407
36005027300,48459,75111,7798,0.3429,0.346
36005027401,82273,115750,5148,0.9016,0.0371
36005027402,94333,152829,3611,0.893,0.0712
36005027700,31500,48825,4338,0.2322,0.2799
36005027900,55406,120708,8486,0.5346,0.1602
36005028100,56667,160568,3757,0.4352,0.0782
36005028300,22971,52237,2841,0.4972,0.4801
36005028500,65625,77965,3763,0.6275,0.1306
36005028600,84286,130643,960,0.8104,0.1542
36005028700,70319,58177,3565,0.4996,0.0909
36005028800,80682,80278,3144,0.8494,0.1549
36005028900,49284,74438,4530,0.3677,0.3136
36005029301,133750,246875,1794,0.8412,0.0297
36005029302,116413,250001,6043,0.7904,0.0828
36005029500,94543,146541,4484,0.6389,0.1327
36005029600,51932,139063,1947,0.519,0.0866
36005029700,104318,193824,4122,0.6978,0.0367
36005030000,72568,103000,6612,0.6944,0.1069
36005030100,82554,135750,1578,0.7007,0.0809
36005030201,60773,146541,3912,0.469,0.0846
36005030202,67500,100625,5261,0.5383,0.0474
36005030701,128919,207311,5718,0.7579,0.0226
36005030900,108470,155344,4480,0.7098,0.0532
36005031000,111106,128926,4507,0.9611,0.0688
36005031200,102188,185852,1874,0.8073,0.0371
36005031400,95486,129362,2272,0.7682,0.0187
36005031600,90294,179167,1965,0.7493,0.1247
36005031800,118250,136949,2149,0.9613,0.0794
36005032300,88026,108429,4789,0.6081,0.0451
36005032400,23741,38975,3326,0.4221,0.4434
36005032600,95071,122083,3643,0.7529,0.1167
36005032800,44680,77750,4140,0.3628,0.2027
36005033000,39018,60477,5575,0.3955,0.2363
36005033201,37255,48144,5334,0.3072,0.3051
36005033202,44812,120568,3775,0.4214,0.1734
36005033500,99659,127083,2158,0.7345,0.1502
36005033601,30533,47326,4925,0.2581,0.3757
36005033602,41950,65022,1356,0.6856,0.1932
36005033700,114151,186607,2644,0.7869,0.0307
36005033801,63978,99165,2256,0.6535,0.1454
36005033802,39487,105066,1713,0.2904,0.1848
36005034000,57782,75903,5775,0.5264,0.1182
36005034200,64113,134276,1665,0.6591,0.1442
36005034300,83991,101290,1899,0.8289,0.0269
36005034400,79779,156490,2165,0.6992,0.2304
36005034500,109167,104010,3645,0.6825,0.126
36005034800,42537,103337,6196,0.519,0.2726
36005035000,64172,157989,2207,0.7776,0.0578
36005035100,96131,250001,3744,0.7014,0.063
36005035600,78803,104875,2206,0.8054,0.1351
36005035800,80727,120938,8758,0.678,0.0971
36005035900,26442,22946,2445,0.3189,0.4302
36005036000,83438,110000,3337,0.7047,0.0413
36005036100,20435,23867,5756,0.147,0.5325
36005036300,27374,42429,7220,0.2075,0.405
36005036400,55208,108077,2641,0.5664,0.0716
36005036501,36535,36746,4234,0.3603,0.2924
36005036502,28566,44277,2502,0.3837,0.3913
36005036800,42460,65813,2365,0.5772,0.3736
36005036901,23854,36973,2151,0.306,0.4816
36005036902,15625,24218,2212,0.2288,0.5583
36005037000,76065,130469,2479,0.7213,0.1
36005037100,24683,41449,4176,0.2846,0.2297
36005037200,51705,115625,2142,0.518,0.1467
36005037300,47650,73857,6697,0.3475,0.3612
36005037400,35232,54609,3968,0.2706,0.3372
36005037504,25417,39396,3641,0.2767,0.3724
36005037600,55000,105139,2071,0.5922,0.2341
36005037800,46136,44688,3147,0.4743,0.2404
36005037900,32269,50016,6137,0.2326,0.3832
36005038000,39856,73500,5035,0.3638,0.3655
36005038100,38937,61132,7707,0.3222,0.3262
36005038200,54844,85008,3001,0.5857,0.217
36005038301,48964,66000,5384,0.3094,0.1922
36005038303,20436,52216,3775,0.1375,0.3401
36005038304,16208,25122,2218,0.1248,0.5307
36005038500,21875,42700,5025,0.2234,0.5512
36005038600,58382,32500,9240,0.5014,0.0894
36005038700,39080,37125,3582,0.2138,0.3594
36005038800,64094,93261,2881,0.6315,0.2333
36005038900,37260,39779,5333,0.3158,0.4034
36005039000,52386,122857,3108,0.5669,0.0763
36005039100,29154,60075,7082,0.281,0.3383
36005039200,54451,94423,1717,0.5334,0.1322
36005039300,22569,35491,8690,0.1955,0.3379
36005039400,50667,78533,5254,0.5615,0.2243
36005039500,25211,80833,4286,0.2331,0.3946
36005039600,38923,52035,4522,0.4062,0.1462
36005039700,28125,2499,3689,0.1271,0.31
36005039800,55433,145689,4209,0.7518,0.1864
36005039901,36338,57308,5312,0.2108,0.3543
36005039902,46174,85625,5570,0.2378,0.2824
36005040100,25873,36420,5086,0.2074,0.3698
36005040302,37318,48415,5331,0.2971,0.3815
36005040303,34773,37593,4216,0.2673,0.2668
36005040304,31765,49235,3641,0.181,0.3092
36005040400,92431,97176,3264,0.7414,0.0941
36005040501,45930,64569,3959,0.2221,0.2711
36005040502,38816,51367,7399,0.2488,0.266
36005040600,45982,109122,3997,0.5808,0.1566
36005040701,45363,43389,3136,0.2135,0.2251
36005040702,33750,60428,7137,0.3077,0.1997
36005040800,34341,63269,4994,0.3771,0.1698
36005040900,60278,93430,3272,0.4193,0.0966
36005041100,38452,59600,3677,0.261,0.2035
36005041300,60646,80179,9110,0.4284,0.2404
36005041400,61250,123259,5352,0.6255,0.0809
36005041500,44707,44068,6089,0.28,0.2355
36005041800,67986,69448,3750,0.5745,0.0995
36005041900,44444,68888,6229,0.4018,0.2514
36005042000,31558,53839,4512,0.3812,0.3494
36005042100,48943,54418,5845,0.2858,0.2512
36005042200,64181,70221,2873,0.6199,0.071
36005042300,48897,61042,4395,0.3338,0.2705
36005042400,77896,106750,2512,0.6629,0.1083
36005042500,32421,89635,6614,0.3209,0.2773
36005042600,82402,71963,7223,0.8105,0.0844
36005042800,89762,95263,2099,0.8148,0.1086
36005042901,38833,60191,3257,0.3947,0.3966
36005042902,42331,65613,4165,0.251,0.1829
36005043000,59500,92225,3565,0.6337,0.1708
36005043101,39681,55346,5844,0.3796,0.3356
36005043102,32759,66420,5008,0.2982,0.413
36005043400,101875,142715,3880,0.6753,0.1392
36005043501,27391,52083,1059,0.269,0.4684
36005043600,73550,91641,2214,0.6196,0.1956
36005044200,42009,190635,4122,0.443,0.3576
36005044400,96094,140509,4725,0.6235,0.1345
36005044800,101667,118958,2231,0.7634,0.1425
36005044901,90000,250001,1995,0.7191,0.0481
36005044902,98542,215570,2160,0.7684,0.096
36005045101,54986,85228,1490,0.5124,0.0243
36005045102,85461,184118,2159,0.6903,0.0408
36005045600,104190,107344,3637,0.7789,0.0299
36005045800,28850,44717,5381,0.1695,0.387
36005046000,38937,60352,3108,0.3678,0.2667
36005046203,43106,66814,7733,0.6089,0.111
36005046204,72088,102628,6891,0.7226,0.0855
36005046205,49219,76289,3053,0.4511,0.1163
36005046206,37343,57881,4084,0.4928,0.0524
36005046207,56157,87043,6351,0.5276,0.1516
36005046208,78339,77726,5879,0.8589,0.1497
36005046209,42121,19000,5039,0.4536,0.3534
36005048401,87870,147909,4213,0.7301,0.0484
36005051601,118972,191548,4417,0.8963,0.0616
36047000100,134738,250001,4722,0.454,0.052
36047000200,58882,56932,1160,0.4365,0.2922
36047000301,179936,250001,3892,0.3721,0.0366
36047000501,141354,250001,4604,0.2958,0.0461
36047000502,155600,250001,2826,0.2758,0.0328
36047000700,186422,250001,4044,0.4169,0.058
36047000900,198590,250001,4687,0.254,0.0117
36047001100,154167,58906,1508,0.1866,0.0849
36047001300,125673,248750,2028,0.3756,0.1248
36047001501,86172,66314,5117,0.1882,0.1534
36047001502,122159,250001,5074,0.1719,0.1896
36047002000,65313,83056,1845,0.3713,0.1301
36047002100,250001,250001,5540,0.5358,0.0428
36047002200,38309,59378,4083,0.3058,0.2572
36047002300,21342,21578,4418,0.1793,0.5165
36047002901,24600,43125,4370,0.1569,0.446
36047003000,99511,173500,1736,0.7282,0.0818
36047003101,151300,250001,3608,0.4078,0.0718
36047003300,126101,195456,4630,0.1746,0.1319
36047003400,88897,119583,3582,0.6525,0.0461
36047003500,132528,250001,2297,0.2755,0.0937
36047003600,77536,125208,3699,0.538,0.1486
36047003700,144732,250001,3220,0.1905,0.0902
36047003800,132865,228125,1512,0.7673,0.0562
36047003900,126429,227031,2349,0.2574,0.1252
36047004100,195750,250001,3535,0.2828,0.1014
36047004300,136226,250001,3919,0.3064,0.1073
36047004400,128024,229792,2335,0.7922,0.0527
36047004500,152157,238073,3614,0.446,0.0379
36047004600,122813,250001,1386,0.7616,0.0685
36047004700,122969,250001,1912,0.4897,0.0764
36047004900,157431,245000,2833,0.5226,0.0748
36047005000,125958,137895,2405,0.795,0.0353
36047005100,155991,171413,2967,0.6203,0.0402
36047005201,59400,92070,1659,0.4487,0.1881
36047005202,103750,106336,2734,0.6878,0.0651
36047005301,125357,170625,2334,0.7146,0.1117
36047005302,119205,184767,91,0.2727,0.0549
36047005400,74874,116054,3388,0.4952,0.0707
36047005601,67443,218981,2585,0.4849,0.1439
36047005602,77348,119889,1867,0.5883,0.0343
36047005800,67656,171813,3066,0.4284,0.0913
36047005900,86167,133558,1234,0.6042,0.0602
36047006000,85352,77917,3516,0.4585,0.0509
36047006200,68722,250001,2536,0.4902,0.1726
36047006300,156397,250001,2284,0.5223,0.0845
36047006400,93938,157607,3264,0.4868,0.1307
36047006500,173087,250001,6308,0.4752,0.042
36047006600,75609,91759,3898,0.4939,0.1707
36047006700,193750,226094,4102,0.5501,0.0506
36047006800,65964,122647,4684,0.3741,0.2016
36047006901,128411,160694,1838,0.4199,0.0981
36047006902,210000,325500,2157,0.3419,0.0459
36047007000,78565,99159,2632,0.5403,0.0469
36047007100,42526,65915,4669,0.3337,0.2493
36047007200,46094,71445,1844,0.2952,0.2946
36047007400,65750,89583,5508,0.4309,0.1843
36047007500,139911,250001,4811,0.4429,0.0713
36047007600,59583,92353,5327,0.3738,0.2236
36047007700,175469,250001,6211,0.4736,0.0296
36047007800,56435,44375,5053,0.3319,0.1669
36047008000,66768,103490,3571,0.3639,0.1182
36047008200,42679,66152,3780,0.325,0.1802
36047008400,71546,182973,3742,0.3289,0.1494
36047008500,16206,120541,7412,0.1365,0.5309
36047008800,70241,70559,2531,0.248,0.1284
36047009001,63631,90598,1388,0.3054,0.1888
36047009002,53712,127120,1392,0.4184,0.0934
36047009201,70750,38200,2182,0.4885,0.2464
36047009202,48571,33690,3653,0.2568,0.2918
36047009401,40978,63515,2460,0.3356,0.4021
36047009402,63344,98183,2970,0.4034,0.1529
36047009600,63457,33641,5822,0.3307,0.1968
36047009800,55284,64375,6364,0.2664,0.2402
36047010000,53500,82925,5434,0.3308,0.2142
36047010100,92015,84000,4393,0.5458,0.1544
36047010200,59188,52292,5025,0.3151,0.1587
36047010401,57243,46845,2411,0.2838,0.2015
36047010402,30881,27661,2207,0.1794,0.4587
36047010601,39306,26759,2773,0.268,0.348
36047010602,58786,32353,2185,0.4867,0.2215
36047010801,58750,91062,1895,0.552,0.2385
36047010802,49750,58333,2413,0.3607,0.3212
36047011000,60083,100625,2490,0.4186,0.2183
36047011200,45833,52857,6274,0.4452,0.281
36047011400,53148,54167,3709,0.3389,0.3132
36047011600,42518,37472,3480,0.4321,0.3046
36047011700,100167,88893,2961,0.4255,0.1278
36047011800,58571,59095,1965,0.4266,0.1542
36047011901,151875,204345,1382,0.5413,0.0645
36047012000,63297,98110,1299,0.7082,0.1594
36047012100,110461,240517,1989,0.4719,0.0739
36047012200,50889,46507,5762,0.2334,0.3025
36047012600,55625,72206,2831,0.5805,0.2024
36047012700,57829,250001,3896,0.2765,0.2957
36047012801,55607,34028,2192,0.6307,0.234
36047012901,200762,250001,2389,0.4,0.0847
36047012902,133250,228125,2996,0.2614,0.0977
36047013000,81160,104583,4794,0.3684,0.1233
36047013100,139028,250001,3936,0.3104,0.1009
36047013200,86490,134059,2422,0.653,0.1708
36047013300,205556,250001,4567,0.5478,0.0274
36047013400,97351,109153,4510,0.5322,0.1174
36047013500,190781,250001,4223,0.5633,0.027
36047013600,121125,199297,3849,0.6041,0.0456
36047013700,139821,233214,3574,0.4284,0.0656
36047013800,79482,100550,4083,0.5791,0.0903
36047013900,151643,201964,3637,0.4599,0.0451
36047014000,53839,161667,2051,0.673,0.1773
36047014101,114722,178750,1036,0.507,0.1354
36047014102,141025,250001,2027,0.5806,0.0908
36047014200,62847,78097,3403,0.4319,0.1657
36047014300,131875,172381,4000,0.4492,0.0561
36047014500,106667,198500,4048,0.4519,0.0645
36047014700,109602,161146,2675,0.5842,0.1156
36047014800,85625,194922,1266,0.6986,0.0737
36047014901,144032,250001,1563,0.6084,0.0646
36047014902,134817,220764,4707,0.5695,0.0609
36047015000,72708,150515,1744,0.739,0.1178
36047015100,190000,250001,4129,0.5801,0.0153
36047015200,76875,146964,2786,0.778,0.1277
36047015300,106750,250001,2830,0.3796,0.0722
36047015500,190556,250001,3904,0.5476,0.0482
36047015700,166372,250001,4853,0.3761,0.0148
36047015900,187883,250001,5102,0.3879,0.0571
36047016000,84135,99028,4647,0.5239,0.1601
36047016100,156429,188438,3726,0.3653,0.0402
36047016200,87552,135705,2409,0.5172,0.1731
36047016300,123819,250001,3906,0.2858,0.0988
36047016400,122625,113952,1310,0.9228,0.0
36047016500,217438,250001,6604,0.5541,0.0471
36047016600,120938,218636,1940,0.9744,0.0191
36047016700,188827,250001,4859,0.4479,0.031
36047016800,100368,140417,2166,0.8746,0.0946
36047016900,112419,199766,5244,0.6134,0.1563
36047017000,84116,144630,3075,0.7365,0.1402
36047017100,142560,165625,4357,0.6331,0.0265
36047017200,116983,148500,3252,0.8002,0.0966
36047017400,105197,177500,2384,0.7849,0.0839
36047017600,86923,116339,2602,0.731,0.1291
36047017800,77522,78862,2901,0.6007,0.0966
36047017900,94241,146073,4375,0.3218,0.2682
36047018000,59033,91501,3253,0.5983,0.0974
36047018100,121600,221122,3788,0.3091,0.1038
36047018200,59410,77813,3612,0.6972,0.0828
36047018300,158060,250001,2749,0.5924,0.0408
36047018400,67284,133015,2295,0.7428,0.0691
36047018501,41571,64435,4767,0.1672,0.2553
36047018600,67426,80682,2311,0.6918,0.1013
36047018700,92469,143326,1459,0.511,0.1193
36047018800,62056,96186,2882,0.7243,0.1353
36047019000,65821,102022,5114,0.5363,0.0929
36047019100,134583,206650,2993,0.4012,0.0846
36047019200,52885,63063,2876,0.5224,0.2077
36047019300,67000,103850,5684,0.3097,0.1951
36047019400,47031,26392,3512,0.7089,0.3099
36047019500,96106,196250,3405,0.3974,0.1251
36047019600,78629,71411,4670,0.5675,0.2717
36047019700,107149,250001,3754,0.4302,0.05
