GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36085004001,85343,7.73,10.67,85343,7.73,10.29,84301,12.15,19.81,83916,23.58,23.58,85356,2.25,3.99,Plentiful-1345,1.9,2.19,Plentiful-1345,1.9,6.95,FPC-710,9.47,14.18,85343,7.73,10.67,81039,4.11,7.99,84802,3.88,11.71,83916,23.58,23.58,85437,5.56,8.47,Plentiful-1511,2.28,2.89,84301,12.15,14.74,83916,23.58,29.89,FPC-382,12.12,15.95,85326,5.82,10.03,85326,5.82,10.19,83916,23.58,23.58,85356,2.25,11.45,85356,2.25,5.63,83916,23.58,23.85,83916,23.58,23.58,83916,23.58,23.58,85326,5.82,16.37,Plentiful-1511,2.28,3.46,Plentiful-1511,2.28,2.28
36085004002,FPC-382,9.42,9.91,FPC-382,9.42,9.91,84301,9.44,18.56,83916,24.08,24.08,85356,5.66,6.76,Plentiful-1345,5.3,5.6,Plentiful-1345,5.3,6.6,FPC-710,7.25,12.86,FPC-382,9.42,9.91,81039,7.23,8.7,84802,3.76,11.44,83916,24.08,24.08,85437,8.69,9.18,Plentiful-1511,3.06,4.45,84301,9.44,15.59,83916,24.08,30.35,FPC-382,9.42,13.67,85326,8.95,9.27,FPC-619,8.71,9.04,83916,24.08,24.08,85356,5.66,13.54,85356,5.66,8.71,83328,23.86,23.97,83916,24.08,24.08,83916,24.08,24.08,85326,8.95,18.25,Plentiful-1511,3.06,5.02,Plentiful-1511,3.06,3.06
36085004003,85343,10.17,10.7,85343,10.17,10.7,84301,10.97,17.86,83916,21.83,21.83,85068,4.38,5.99,Plentiful-1345,4.77,5.07,Plentiful-1345,4.77,5.96,FPC-710,6.55,11.64,85343,10.17,10.7,81039,7.01,9.37,84802,0.92,10.25,83916,21.83,21.83,85437,8.46,9.86,Plentiful-1511,2.22,3.82,84301,10.97,14.99,83916,21.83,28.1,FPC-382,10.95,14.23,85326,8.73,10.22,85326,8.73,9.98,83916,21.83,21.83,85356,5.13,12.08,85356,5.13,7.65,83328,21.6,21.71,83916,21.83,21.83,83916,21.83,21.83,85326,8.73,16.68,Plentiful-1511,2.22,4.39,Plentiful-1511,2.22,2.22
36085004004,FPC-382,8.22,9.89,FPC-382,8.22,9.89,84301,8.24,15.62,83916,20.13,20.13,85068,7.41,7.96,Plentiful-1345,8.17,8.21,FPC-710,4.24,5.55,FPC-710,4.24,9.54,FPC-382,8.22,9.89,FPC-382,8.22,8.96,84802,3.81,9.74,83916,20.13,20.13,FPC-382,8.22,9.38,Plentiful-1511,5.67,6.52,84301,8.24,14.53,83916,20.13,26.4,FPC-382,8.22,11.65,FPC-382,8.22,9.47,FPC-619,7.51,9.23,83916,20.13,20.13,85356,8.4,13.62,85356,8.4,10.75,83328,19.91,20.02,83916,20.13,20.13,83916,20.13,20.13,85326,11.93,16.61,Plentiful-1511,5.67,7.75,Plentiful-1511,5.67,5.67
36085004700,FPC-382,13.69,13.92,Plentiful-1449,13.63,13.68,84301,13.71,16.34,83916,17.5,17.5,85068,8.57,10.32,85356,9.56,10.04,FPC-710,7.57,8.47,FPC-710,7.57,10.88,FPC-382,13.69,13.92,81039,11.67,13.02,84802,7.95,12.07,83916,17.5,17.5,85437,12.83,13.41,Plentiful-1511,8.04,9.25,84301,13.71,15.25,83916,17.5,23.78,FPC-382,13.69,14.97,85326,13.09,13.5,FPC-619,12.98,13.26,83916,17.5,17.5,85356,9.56,12.17,85356,9.56,10.19,83328,17.28,17.39,83916,17.5,17.5,83916,17.5,17.5,85326,13.09,15.25,Plentiful-1511,8.04,9.73,Plentiful-1511,8.04,8.04
36085005000,FPC-382,6.31,9.18,FPC-382,6.31,9.18,84301,6.33,15.49,83916,21.68,21.68,FPC-382,6.31,7.25,FPC-382,6.31,7.44,FPC-710,3.57,4.49,FPC-710,3.57,9.6,FPC-382,6.31,9.18,FPC-382,6.31,8.09,84802,5.84,10.21,83916,21.68,21.68,FPC-382,6.31,7.68,FPC-382,6.31,6.69,84301,6.33,14.51,83916,21.68,27.96,FPC-382,6.31,10.37,FPC-382,6.31,8.66,FPC-619,5.6,8.42,83916,21.68,21.68,85356,10.04,15.25,85356,10.04,12.43,83328,21.46,21.57,83916,21.68,21.68,83916,21.68,21.68,85326,13.34,18.12,Plentiful-1511,7.45,9.41,Plentiful-1511,7.45,7.45
36085005902,85343,8.76,14.28,Plentiful-1449,6.41,8.16,83916,16.95,18.59,83916,16.95,16.95,85068,7.43,7.91,83522,5.83,7.1,Plentiful-1345,9.02,9.46,FPC-710,12.99,14.31,85343,8.76,14.49,81039,8.16,9.27,84802,9.34,12.92,83916,16.95,16.95,85437,7.72,11.14,85437,7.72,7.94,Plentiful-1396,10.33,13.25,83916,16.95,23.26,83916,16.95,18.4,85326,7.99,14.18,85326,7.99,14.45,83916,16.95,16.95,83656,2.48,9.33,83656,2.48,5.41,83916,16.95,17.27,83916,16.95,16.95,83916,16.95,16.95,85326,7.99,12.67,85326,7.99,8.03,Plentiful-1511,8.05,8.05
36085006400,FPC-382,1.42,7.04,FPC-382,1.42,7.04,84301,1.47,16.26,83916,26.29,26.29,FPC-382,1.42,3.21,FPC-382,1.42,3.21,84301,1.47,5.78,FPC-710,7.94,14.06,FPC-382,1.42,7.04,FPC-382,1.42,5.83,84301,1.47,10.81,83916,26.29,26.29,FPC-382,1.42,3.21,FPC-382,1.42,3.21,84301,1.47,15.27,83916,26.29,32.56,FPC-382,1.42,7.97,FPC-382,1.42,5.81,84301,1.47,6.45,83916,26.29,26.29,85356,13.03,19.31,85356,13.03,16.26,83328,26.07,26.18,83916,26.29,26.29,83916,26.29,26.29,85326,16.32,22.18,Plentiful-1511,11.53,13.13,Plentiful-1511,11.53,11.53
36085006700,83916,10.03,10.52,Plentiful-1449,6.4,8.24,83916,10.03,19.34,83916,10.03,10.03,83916,10.03,10.37,FPC-33,1.83,6.66,83916,10.03,10.43,83916,10.03,13.15,83916,10.03,10.56,85361,5.54,8.64,85361,5.54,9.25,83916,10.03,10.03,83916,10.03,10.35,85361,5.54,8.69,85361,5.54,8.75,83916,10.03,16.34,83916,10.03,18.99,83916,10.03,10.56,83916,10.03,11.0,83916,10.03,10.03,83656,5.04,8.64,83656,5.04,6.57,83916,10.03,10.44,83916,10.03,10.03,83916,10.03,10.03,FPC-620,6.16,9.0,85454,10.02,11.49,Plentiful-1511,13.62,13.62
36085007001,FPC-382,4.61,9.38,FPC-382,4.61,9.38,84301,5.42,17.54,83916,29.09,29.09,FPC-613,2.23,4.09,FPC-613,2.23,3.2,84301,5.42,7.64,FPC-710,8.75,15.53,FPC-382,4.61,9.38,FPC-382,4.61,9.38,84301,5.42,12.08,83916,29.09,29.09,FPC-613,2.23,4.09,FPC-613,2.23,4.09,84301,5.42,16.55,83916,29.09,35.36,FPC-382,4.61,9.38,FPC-382,4.61,6.78,FPC-619,3.64,9.05,83916,29.09,29.09,85356,16.93,22.48,85356,16.93,19.66,83328,28.87,28.98,83916,29.09,29.09,83916,29.09,29.09,85326,20.22,25.35,Plentiful-1511,14.33,16.29,Plentiful-1511,14.33,14.33
