GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36047080200,80403,7.92,13.19,85172,2.95,4.59,85172,2.95,7.4,FPC-488,14.26,18.04,80284,8.24,8.27,81427,0.36,2.66,85172,2.95,4.16,85495,4.6,10.66,80292,9.18,10.95,85172,2.95,3.96,85172,2.95,3.74,83913,12.56,14.42,80403,7.92,8.13,85172,2.95,4.23,85172,2.95,4.27,FPC-488,14.26,16.5,84911,13.24,14.3,81748,5.3,6.2,85386,3.31,5.32,84911,13.24,14.06,84946,3.21,4.36,84946,3.21,3.95,83318,3.72,4.53,84949,5.23,15.9,83993,14.08,25.18,85172,2.95,4.32,FPC-444,6.89,11.31,81458,30.8,42.33
36047080400,80403,8.48,13.32,85172,3.51,4.78,85172,3.51,7.52,82186,14.58,18.23,80284,7.68,8.08,81427,0.92,2.85,85172,3.51,4.08,85495,5.16,11.14,80292,9.1,11.01,85172,3.51,4.52,85172,3.51,4.13,83913,12.47,14.4,80284,7.68,7.95,85172,3.51,4.42,85172,3.51,4.08,FPC-488,14.82,16.85,84911,13.16,14.36,81156,5.65,6.06,85386,3.87,5.14,84911,13.16,14.19,84946,2.65,3.8,84946,2.65,3.39,83318,3.16,3.97,84949,4.67,15.66,83993,14.0,25.53,85172,3.51,4.19,FPC-444,6.33,11.34,81458,31.36,42.9
36047080600,80403,8.0,10.38,81156,1.22,4.02,81157,3.86,6.46,82186,12.22,18.52,80284,6.44,7.85,81156,1.22,2.65,81157,3.86,4.46,85495,6.01,9.89,80292,7.1,9.3,81156,1.22,3.33,84151,3.13,3.65,83913,8.31,12.6,80284,6.44,6.96,81156,1.22,3.66,81157,3.86,4.8,FPC-488,14.34,15.51,84911,8.99,10.71,81156,1.22,2.7,81157,3.86,4.25,84911,8.99,11.59,84946,1.79,5.36,84946,1.79,2.77,83318,1.94,4.7,84949,5.83,13.61,83993,9.84,24.09,84151,3.13,4.6,FPC-444,5.75,12.76,81458,31.29,42.38
36047080800,80403,12.54,13.01,81156,5.76,7.53,81157,8.4,9.43,82186,10.52,19.48,80284,3.28,6.19,80284,3.28,3.59,FPC-444,3.45,5.14,82186,10.52,12.35,84221,10.92,11.96,80284,3.28,4.1,80260,6.81,7.5,83913,10.95,15.56,80284,3.28,6.19,80386,2.64,3.07,81687,4.36,6.45,FPC-223,17.73,18.7,84911,11.45,12.64,81156,5.76,7.05,FPC-639,3.14,4.53,84911,11.45,15.44,84946,5.12,6.53,82343,4.04,4.57,84949,3.53,4.68,84949,3.53,15.11,83993,13.07,28.19,84949,3.53,6.02,FPC-444,3.45,12.47,81458,35.83,46.92
36047081000,80403,9.09,12.71,81156,4.62,5.41,81157,4.3,7.46,82186,12.93,18.42,80284,6.03,7.53,81427,2.55,3.42,81157,4.3,4.93,85495,6.45,11.02,80292,8.19,10.94,81156,4.62,5.27,84151,3.47,4.3,83913,11.56,14.56,80284,6.03,7.05,80386,4.53,4.76,81157,4.3,5.06,FPC-488,15.43,17.29,84911,12.25,13.76,81156,4.62,5.59,81157,4.3,5.05,84911,12.25,13.79,84946,1.73,4.58,84946,1.73,3.18,83318,2.25,4.09,84949,4.47,14.99,83993,13.09,25.9,84151,3.47,4.36,FPC-444,5.34,12.1,81458,32.38,43.6
36047081400,80403,12.85,13.06,81156,6.06,6.84,81157,8.22,9.26,82186,10.53,19.14,80284,2.13,4.56,80284,2.13,2.94,FPC-444,0.81,3.43,85495,10.37,11.73,84221,10.3,11.51,80284,2.13,3.22,FPC-635,5.4,5.98,83913,11.85,15.08,80284,2.13,4.56,80386,0.0,1.42,80296,4.86,5.05,82785,16.98,18.33,84911,12.53,12.95,81156,6.06,7.01,FPC-444,0.81,2.71,84911,12.53,16.0,80296,4.86,5.05,82343,1.4,3.71,84949,0.89,2.38,84949,0.89,14.71,83993,13.38,28.5,84949,0.89,5.44,FPC-444,0.81,9.83,81458,36.14,47.23
36047081600,80403,11.83,13.5,81156,7.26,7.61,81157,7.04,8.87,82186,11.73,18.8,80284,3.33,4.96,80284,3.33,3.98,FPC-444,1.98,3.1,85495,9.19,11.33,80292,10.93,11.17,80284,3.33,3.62,FPC-635,4.2,4.88,85540,13.01,14.74,80284,3.33,4.96,80386,1.2,2.62,80296,3.67,3.85,82785,15.79,17.98,84911,13.73,14.12,81156,7.26,8.02,FPC-444,1.98,3.09,84911,13.73,16.11,80296,3.67,3.94,82343,1.38,2.91,84949,0.31,1.79,84949,0.31,14.95,83993,14.57,28.22,84949,0.31,4.79,FPC-444,1.98,9.42,81458,35.12,46.34
36047081800,80403,10.92,13.81,81156,6.56,6.77,81157,6.13,8.43,82186,12.64,18.5,80284,4.24,5.26,80284,4.24,4.28,80296,2.76,2.8,85495,8.28,11.03,80292,10.02,10.86,FPC-635,3.29,3.92,FPC-635,3.29,3.96,83913,13.39,14.7,80284,4.24,5.26,80386,2.11,3.22,80296,2.76,2.94,82785,14.87,17.49,85468,13.47,14.23,81156,6.56,7.49,FPC-444,2.88,3.4,84911,14.07,15.61,80296,2.76,3.02,82343,2.29,2.6,84949,1.22,2.09,84949,1.22,15.12,83993,14.92,27.73,84949,1.22,4.48,FPC-444,2.88,9.12,81458,34.2,45.43
36047082000,80403,11.29,14.73,82347,6.2,6.75,85172,6.3,8.41,82186,13.84,18.81,80284,5.44,5.85,81427,3.72,4.06,80296,2.12,2.78,85495,7.97,11.11,80347,9.53,11.67,FPC-635,2.66,4.52,FPC-635,2.66,3.88,85540,13.65,15.29,80284,5.44,5.85,87341,2.69,3.51,80296,2.12,2.31,82785,14.24,17.81,85468,12.84,14.53,81156,7.76,8.4,85386,2.87,3.98,84911,15.28,16.54,80296,2.12,3.0,80296,2.12,2.58,80296,2.12,2.22,84949,2.42,16.32,83993,16.12,27.85,84949,2.42,5.07,FPC-444,4.08,9.1,81458,33.78,45.31
36047082200,80403,10.76,15.38,82347,4.97,5.69,85172,5.07,8.09,82186,15.15,18.66,83444,5.44,6.31,81427,3.19,3.28,80296,2.69,3.49,85495,7.04,10.83,80347,8.55,11.88,FPC-635,1.43,4.42,FPC-635,1.43,3.5,85540,14.95,15.81,83444,5.44,6.31,81742,3.36,3.57,80296,2.69,3.13,82785,13.01,17.49,85468,11.86,14.06,81748,7.43,8.79,85386,1.64,4.44,84911,16.08,16.89,80296,2.69,3.61,80296,2.69,2.89,80296,2.69,3.04,84949,3.73,17.29,83993,16.92,27.29,84949,3.73,5.48,FPC-444,5.39,8.88,81458,32.55,44.08
