GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36081004300,81199,16.7,18.4,84065,13.14,14.41,84960,4.48,12.4,81199,16.24,19.03,85483,6.85,14.36,84960,3.81,5.04,87007,6.16,9.53,81199,16.24,19.03,85483,6.85,13.04,FPC-506,5.9,5.91,85483,6.7,13.44,81199,16.24,19.03,85483,6.85,10.44,87007,5.41,6.43,84960,4.48,5.78,81199,16.24,17.72,85483,6.85,12.92,85483,5.93,9.24,85483,6.7,13.73,81199,16.24,19.03,85483,6.27,10.26,85483,5.35,6.56,FPC-168,13.14,17.01,81199,15.65,19.85,81199,16.11,19.67,81199,15.44,17.65,80518,15.76,18.0,80518,14.32,16.57
36081004500,81199,17.99,20.37,84065,14.47,15.94,84960,5.29,13.58,81199,17.56,19.61,85483,8.15,15.25,84960,4.64,4.9,87007,7.52,10.9,81199,17.56,19.49,85483,8.15,14.34,FPC-506,5.04,5.78,85483,8.06,14.8,81199,17.56,19.61,85350,7.28,9.86,85350,6.37,6.79,84960,5.29,6.96,81199,17.56,18.3,85483,8.15,14.22,85483,7.27,10.58,85483,8.06,15.09,81199,17.56,19.61,85350,6.7,10.56,85350,5.79,6.89,FPC-168,14.5,17.72,81199,16.98,20.11,81199,17.41,21.65,81199,16.78,19.33,80518,17.12,18.59,80518,15.65,17.16
36081004700,81199,17.21,18.91,84065,13.64,14.92,84960,5.79,13.19,81199,15.61,18.89,85483,6.45,14.25,84960,5.09,5.39,85483,6.26,9.74,81199,15.61,18.8,85483,6.45,13.25,85483,5.5,5.56,85483,6.26,13.64,81199,15.61,18.89,85483,6.45,9.53,85483,5.5,6.38,84960,5.79,6.24,81199,15.61,17.58,85483,6.45,13.13,85483,5.5,9.13,85483,6.26,14.0,81199,15.61,18.89,85483,5.87,10.19,85483,4.92,6.17,FPC-168,13.87,17.5,81199,15.03,19.71,81199,16.63,20.18,81199,16.01,18.27,80518,16.28,18.31,80518,14.72,16.39
36081005000,85512,15.12,16.3,85512,14.22,15.42,84599,16.01,18.09,82186,21.76,26.27,85378,10.08,11.25,85378,9.1,9.44,85163,10.34,11.41,84801,10.98,11.72,81272,10.5,13.23,FPC-99,7.19,9.47,FPC-630,9.33,11.25,FPC-630,8.61,10.45,85512,15.12,16.3,83306,9.58,12.87,83583,10.96,13.69,84611,13.66,17.46,83879,13.26,14.88,80319,10.37,13.14,FPC-695,4.41,11.51,81592,5.79,13.44,85243,8.76,10.01,84936,9.42,9.86,FPC-432,11.21,13.51,FPC-432,10.26,12.37,85122,23.26,25.66,83630,17.32,21.32,85161,20.81,28.75,Plentiful-1511,34.1,34.73
36081005100,81199,14.83,17.95,84065,13.99,14.47,84960,7.57,13.38,81199,13.91,17.68,85483,5.86,12.53,85483,4.9,6.24,85483,5.61,9.0,81199,13.91,17.68,85483,5.86,12.45,85483,4.9,7.08,85483,5.61,12.73,81199,13.91,17.68,85483,5.86,9.83,85483,4.9,6.88,85483,5.61,6.9,81199,13.91,16.71,85483,5.86,11.72,85483,4.9,8.67,85483,5.61,12.73,81199,13.91,17.68,85483,5.28,10.06,85274,3.96,5.07,FPC-168,11.36,15.3,81199,13.33,18.51,81199,14.25,18.79,81199,13.55,16.99,80518,15.12,16.61,80518,13.01,14.91
36081005200,84603,18.2,18.51,84603,16.54,17.37,84603,17.83,18.3,82186,22.69,27.54,85378,11.03,11.57,85163,9.43,10.4,85163,10.34,11.94,84801,11.78,12.82,81272,9.46,12.48,FPC-99,8.2,9.31,FPC-630,10.12,11.87,FPC-630,9.4,11.06,FPC-484,17.6,17.8,83306,9.7,13.54,83583,11.74,14.6,84611,13.76,17.56,83879,12.65,15.87,80319,11.2,14.34,FPC-695,4.71,12.06,81592,5.46,13.4,85243,7.73,9.51,84936,8.43,10.12,FPC-432,12.0,13.11,FPC-432,11.05,11.92,85122,22.65,25.22,83630,16.6,20.79,85161,24.09,30.2,FPC-624,34.97,36.25
36081005300,81199,17.39,18.87,84065,15.54,16.4,84960,7.77,14.75,81199,16.56,18.54,85483,7.49,14.11,FPC-506,6.11,6.26,85483,7.34,10.8,81199,16.56,17.6,85483,7.49,14.27,FPC-506,6.11,6.26,85483,7.34,14.84,81199,16.56,18.94,85483,7.49,9.48,85483,6.55,7.54,85483,7.34,7.92,81199,16.56,17.63,85483,7.49,13.97,85483,6.55,10.56,85483,7.34,15.02,81199,16.56,18.94,85483,6.9,10.74,85483,5.97,6.97,FPC-168,13.86,16.62,81199,15.98,18.39,81199,16.81,20.45,81199,16.02,18.7,80518,17.62,17.88,80518,15.67,16.13
36081005500,81199,15.92,19.04,84065,14.88,15.36,84960,9.58,14.63,81199,14.99,18.48,85483,7.76,13.0,85483,6.84,7.91,85483,7.55,9.83,81199,14.99,18.36,85483,7.76,13.82,85483,6.84,9.05,85483,7.55,13.95,81199,14.99,18.48,85483,7.76,10.54,85483,6.84,7.91,85483,7.55,8.86,81199,14.99,17.33,85483,7.76,13.09,85483,6.84,9.91,85483,7.55,13.95,81199,14.99,18.48,85483,7.18,11.67,85274,5.69,6.0,FPC-168,12.23,15.29,81199,14.41,19.12,81199,15.34,19.88,81199,14.44,16.55,80518,15.99,18.08,80518,14.09,15.71
36081005700,81199,17.12,18.79,84065,16.07,16.56,84960,9.47,15.38,81199,16.18,18.39,85483,8.88,13.99,80971,7.81,8.25,85483,9.05,11.28,81199,16.18,18.0,85483,8.88,14.72,85483,8.24,8.76,85483,9.05,15.24,81199,16.18,18.63,85483,8.88,10.27,80971,7.81,8.52,85483,9.05,9.63,81199,16.18,17.48,85483,8.88,14.26,85483,8.24,11.17,85483,9.05,15.24,81199,16.18,18.63,85483,8.3,11.94,85274,6.88,7.5,FPC-168,13.41,16.33,81199,15.6,18.23,81199,16.54,20.27,81199,15.63,17.75,80518,17.17,17.58,80518,15.28,15.86
36081006300,85114,14.84,15.28,85379,13.93,15.06,84960,12.81,14.32,FPC-624,13.21,17.05,84884,11.83,12.93,FPC-506,8.4,8.5,85483,12.39,13.51,FPC-624,13.21,14.3,85483,12.4,13.78,FPC-506,8.4,8.47,85483,12.39,14.17,FPC-624,13.21,15.11,85244,7.78,9.95,80971,8.7,9.65,85483,12.39,12.97,FPC-624,13.21,17.05,85483,12.4,14.13,85483,11.48,11.76,85483,12.39,13.6,FPC-624,13.21,17.05,85350,9.71,11.77,83361,7.94,9.01,83628,13.01,13.42,FPC-624,12.62,15.77,FPC-493,18.01,19.07,FPC-493,16.44,17.42,FPC-624,13.86,17.55,FPC-624,12.62,17.26
36081006501,85114,14.17,14.61,85311,12.63,13.3,84960,13.42,13.87,FPC-624,12.48,16.68,84884,11.17,12.69,FPC-506,9.01,9.02,85483,13.0,13.67,FPC-624,12.48,13.57,85483,13.02,13.54,80891,7.89,8.64,85483,13.0,13.88,FPC-624,12.48,14.39,85244,8.04,10.02,80971,9.03,9.58,85483,13.0,13.27,FPC-624,12.48,15.95,85483,13.02,13.69,FPC-597,10.86,11.41,85483,13.0,13.31,FPC-624,12.48,16.02,85350,10.33,11.95,83361,7.22,8.59,83628,12.27,12.68,FPC-624,11.9,15.05,FPC-493,17.34,17.93,FPC-493,15.73,17.55,FPC-624,13.11,17.26,FPC-624,11.9,17.43
36081006502,85114,15.38,15.82,85311,13.88,14.55,84960,14.55,15.06,FPC-624,13.77,17.7,84884,11.94,13.66,80971,7.9,9.23,85483,14.13,14.83,FPC-624,13.77,14.54,85483,14.14,14.72,80891,8.59,9.46,85483,14.13,15.07,FPC-624,13.77,16.26,85244,6.91,10.39,80971,7.9,9.81,FPC-603,12.58,13.75,FPC-624,13.77,16.97,80893,12.37,13.87,FPC-597,11.55,12.29,FPC-597,12.44,13.83,FPC-624,13.77,17.3,85350,11.45,13.11,83361,8.35,9.19,83628,11.47,12.55,FPC-624,13.19,17.63,FPC-493,18.56,19.14,FPC-493,16.98,18.8,FPC-624,14.33,18.27,FPC-624,13.19,19.69
36081006900,85114,14.94,15.38,85311,13.55,14.22,84960,11.61,14.06,FPC-624,13.45,17.15,85483,10.92,12.64,FPC-506,6.86,7.94,85483,10.92,12.77,FPC-624,13.45,14.96,85483,10.92,13.35,FPC-506,6.86,7.65,85483,10.92,13.99,FPC-624,13.45,15.78,85350,6.99,9.38,85350,6.01,9.16,85483,10.92,11.68,FPC-624,13.45,17.15,85483,10.92,13.5,85483,10.1,11.43,85483,10.92,13.65,FPC-624,13.45,16.99,85350,6.41,10.2,85350,5.43,7.83,83628,14.15,14.33,FPC-624,12.87,16.23,FPC-493,18.11,18.7,FPC-493,16.65,18.47,FPC-624,14.31,18.18,FPC-624,12.87,17.22
