GEOID,FP_nearest,FP_tt,FP_tt_3
36005028700,FPC-665,7.15,8.09
36005028800,FPC-661,13.53,15.94
36005028900,FPC-671,3.24,5.41
36005029500,FPC-671,10.5,11.33
36005029600,FPC-661,9.19,12.6
36005030000,FPC-666,4.63,10.41
36005030100,FPC-671,12.81,15.95
36005030201,FPC-666,11.97,19.88
36005030701,FPC-665,18.73,21.96
36005030900,FPC-671,25.79,28.67
36005031000,FPC-666,9.12,10.76
36005031200,FPC-661,2.05,10.14
36005031400,FPC-661,1.55,10.21
36005031600,FPC-661,5.16,11.29
36005031800,FPC-661,8.32,13.09
36005031900,FPC-665,43.4,49.27
36005032300,FPC-665,32.71,38.27
36005032400,80086,11.3,11.63
36005032600,FPC-661,12.72,14.89
36005032800,80086,9.98,10.35
36005033000,80086,9.35,9.73
36005033201,80086,7.15,7.45
36005033202,80086,12.36,12.71
36005033601,83304,12.24,13.25
36005033602,83304,9.14,10.4
36005033801,81671,13.11,14.91
36005033802,81671,8.74,11.84
36005034000,81671,11.82,14.87
36005034200,81671,12.7,14.17
36005034300,FPC-665,37.59,44.47
36005034400,81315,12.11,13.58
36005034800,81315,7.29,9.38
36005035600,85455,11.03,12.35
36005035900,81435,0.63,4.04
36005036000,85455,6.7,7.5
36005036300,85461,3.6,5.78
36005036400,85533,2.91,4.64
36005036501,85461,4.73,5.87
36005036800,85533,8.31,9.82
36005036901,80065,3.3,5.32
36005036902,80065,3.9,6.85
36005037000,81671,7.66,10.2
36005037100,84788,4.76,6.12
36005037200,81671,3.95,7.81
36005037300,84788,1.03,3.77
36005037400,83304,3.19,6.2
36005037504,84788,2.72,3.7
36005037900,80136,3.7,4.56
36005038000,81671,3.35,5.74
36005038100,Plentiful-1342,3.37,5.04
36005038200,85533,7.44,10.65
36005038301,FPC-527,2.27,3.8
36005038303,81637,1.7,3.17
36005038600,85533,6.1,8.87
36005038700,80179,2.07,4.8
36005038800,85177,8.66,9.17
36005039000,80160,6.07,6.58
36005039100,Plentiful-1528,1.93,2.72
36005039200,83333,2.48,3.98
36005039400,80160,5.33,6.45
36005039600,80160,1.01,4.72
36005039800,85177,4.25,5.96
36005040302,84228,5.39,7.36
36005040303,84228,3.07,6.99
36005040304,84228,6.61,8.81
36005040400,85109,0.95,2.51
36005040501,84228,5.67,5.96
36005040502,80121,3.0,4.18
36005040600,83678,3.61,4.31
36005040701,84228,2.09,5.4
36005040702,85433,2.57,4.5
36005040800,83678,3.09,6.9
36005040900,84228,7.94,9.27
36005041500,85433,3.76,4.28
36005041900,87096,5.02,6.22
36005042000,83678,4.73,8.18
36005042100,85339,5.19,9.52
36005042200,83678,4.47,6.48
36005042300,85480,2.52,5.1
36005042400,85109,4.14,5.72
36005042800,FPC-674,2.79,6.6
36005042902,85480,4.91,6.75
36005043000,84883,3.97,6.83
36005043101,85339,3.55,10.51
36005043400,85327,0.79,5.77
36005043600,85327,2.43,5.45
36005044200,85371,5.98,10.96
36005044400,85371,5.41,8.02
36005044800,FPC-674,4.41,9.07
36005044901,83678,19.71,22.28
36005044902,83678,17.33,20.02
36005045102,83678,14.35,15.13
36005045600,85505,11.14,11.54
36005045800,85456,4.18,7.37
36005046000,85456,8.78,10.86
36005046203,85307,7.6,12.23
36005046204,85307,12.27,19.2
36005046206,85307,8.12,15.14
36005046207,85307,4.26,11.76
36005046208,85307,9.6,10.66
36005046209,85307,4.31,6.11
36005048401,83469,3.24,4.15
36005048402,83469,7.9,8.65
36005050400,85307,32.87,36.25
36005051601,FPC-715,43.54,48.44
36005051602,FPC-715,62.46,67.13
36081000200,85243,4.97,14.56
36081000400,85243,4.15,12.64
36081000600,85243,8.76,12.25
36081000702,85367,7.41,13.18
36081000800,85243,7.84,11.45
36081001000,85243,3.58,12.8
36081001200,85243,4.09,14.88
36081001400,85243,9.25,13.7
36081001600,85243,8.82,11.73
36081002200,84936,8.95,13.84
36081002400,84936,6.89,10.78
36081002600,84936,6.14,7.98
36081002800,84936,1.44,8.3
36081003000,84936,4.72,11.04
36081003100,85274,2.34,4.39
36081003200,81592,5.14,8.48
36081003302,85483,2.63,4.26
36081003400,85243,11.23,11.35
36081003800,81592,1.35,7.22
36081004001,81592,2.56,7.93
36081004002,81592,6.64,7.79
36081004200,FPC-695,9.17,12.09
36081004300,84960,2.85,6.85
36081004500,FPC-506,5.18,6.52
36081004700,84960,7.7,9.26
36081005000,FPC-695,6.72,11.23
36081005100,85274,5.97,7.57
36081005200,FPC-695,5.24,10.81
36081005300,Plentiful-1469,9.38,10.47
36081005500,84174,9.21,10.55
36081005700,80971,9.84,13.4
36081006300,80971,9.63,10.62
36081006501,85244,10.32,13.21
36081006502,85244,7.13,12.47
36081006900,Plentiful-1469,11.38,12.05
36081007100,Plentiful-1469,8.63,10.29
