GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36061004100,80491,8.06,9.9,80491,8.06,9.8,80491,8.06,11.14,85434,23.41,32.67,80491,8.06,9.9,80491,8.06,9.8,80491,8.06,11.14,85434,23.41,32.67,80491,8.06,10.65,80491,8.06,10.07,80491,8.06,11.14,85434,23.41,32.67,80491,8.06,10.9,80491,8.06,10.07,80491,8.06,11.14,85434,23.41,32.67,80491,8.06,9.69,80491,8.06,9.59,80491,8.06,9.69,81458,14.82,25.6,85291,18.36,25.02,FPC-374,8.6,11.4,FPC-374,8.6,22.22,87247,43.41,66.45,82998,14.13,31.89,82998,14.13,21.36,82998,14.13,25.92,81458,14.82,53.11
36061004300,80491,3.29,8.78,80491,3.29,8.78,80491,3.29,9.4,85434,19.27,30.59,80491,3.29,8.78,80491,3.29,8.78,80491,3.29,12.02,85434,19.27,30.59,80491,3.29,6.67,80491,3.29,6.67,80491,3.29,12.02,85434,19.27,30.59,80491,3.29,9.88,80491,3.29,8.84,80491,3.29,12.02,85434,19.27,30.59,80491,3.29,6.35,80491,3.29,6.35,80491,3.29,7.37,81458,11.48,19.91,85291,13.73,19.65,FPC-628,12.49,15.13,FPC-628,12.49,21.45,87247,36.54,64.28,81458,11.48,28.72,81458,11.48,18.19,81458,11.48,23.36,81458,11.48,47.54
36061004500,80491,10.75,13.24,82998,10.52,11.78,82998,10.52,12.05,85434,26.27,32.67,80491,10.75,13.24,82998,10.52,11.78,82998,10.52,12.05,85434,26.27,32.67,80491,10.75,13.69,82998,10.52,11.96,82998,10.52,12.05,85434,26.27,32.67,80491,10.75,13.69,82998,10.52,11.96,82998,10.52,12.05,85434,26.27,32.67,80491,10.75,11.64,82998,10.52,10.99,82998,10.52,10.99,81458,11.7,23.98,85291,20.82,26.32,FPC-374,12.26,14.8,FPC-374,12.26,24.15,87247,42.63,67.26,82998,10.52,29.22,82998,10.52,18.17,82998,10.52,24.03,81458,11.7,51.78
36061005200,FPC-559,5.29,9.58,FPC-559,5.29,9.58,FPC-559,5.29,9.58,87247,13.23,20.26,FPC-559,5.29,9.58,FPC-559,5.29,9.58,FPC-559,5.29,9.58,87247,13.23,20.26,FPC-559,5.29,9.58,FPC-559,5.29,9.58,FPC-559,5.29,9.58,87247,13.23,20.26,FPC-559,5.29,9.58,FPC-559,5.29,7.98,FPC-559,5.29,9.58,87247,13.23,20.26,FPC-559,5.29,9.58,FPC-559,5.29,9.58,FPC-559,5.29,9.17,87290,12.0,14.98,80749,7.62,9.96,80749,7.62,13.09,87247,13.23,22.09,87247,13.23,50.0,81458,25.44,30.28,80720,13.38,17.47,81735,20.49,24.92,81458,25.44,38.87
36061005400,80720,8.44,9.8,80720,8.44,9.8,80720,8.44,9.8,87247,10.73,19.35,80720,8.44,9.8,80720,8.44,9.8,80720,8.44,9.45,87247,10.73,19.35,80720,8.44,9.8,80720,8.44,9.8,80720,8.44,9.8,87247,10.73,19.35,80720,8.44,9.8,80720,8.44,9.8,80720,8.44,9.8,87247,10.73,19.35,80720,8.44,9.8,80720,8.44,9.8,80720,8.44,9.8,87247,10.73,15.82,80749,4.34,8.1,80749,4.34,10.03,87247,10.73,22.52,87247,10.73,50.5,81458,24.07,29.35,80720,8.44,17.28,81735,20.55,24.1,81458,24.07,40.83
36061005501,DSNY-BRS-1058,10.42,11.97,DSNY-BRS-1058,10.42,11.97,FPC-529,3.71,9.74,85434,25.88,30.97,DSNY-BRS-1058,10.42,11.97,DSNY-BRS-1058,10.42,11.97,80491,11.82,13.43,85434,25.88,30.97,DSNY-BRS-1058,10.42,11.97,DSNY-BRS-1058,10.42,11.97,80491,11.82,13.43,85434,25.88,30.97,DSNY-BRS-1058,10.42,11.97,DSNY-BRS-1058,10.42,11.97,80491,11.82,13.43,85434,25.88,30.97,DSNY-BRS-1058,10.42,11.21,DSNY-BRS-1058,10.42,11.21,87290,7.47,10.23,87290,7.47,16.38,80520,11.19,15.02,80749,18.76,21.12,FPC-628,20.74,24.96,87247,30.28,63.89,81458,11.4,26.6,81458,11.4,15.33,81458,11.4,21.24,81458,11.4,45.2
36061005502,DSNY-BRS-1058,6.48,9.37,DSNY-BRS-1058,6.48,9.37,FPC-529,5.45,9.03,85434,21.76,30.67,DSNY-BRS-1058,6.48,9.26,DSNY-BRS-1058,6.48,9.26,80491,7.88,13.2,85434,21.76,30.67,DSNY-BRS-1058,6.48,8.5,DSNY-BRS-1058,6.48,8.5,80491,7.88,13.2,85434,21.76,30.67,DSNY-BRS-1058,6.48,9.37,DSNY-BRS-1058,6.48,9.37,80491,7.88,13.2,85434,21.76,30.67,DSNY-BRS-1058,6.48,8.76,DSNY-BRS-1058,6.48,8.76,87290,7.08,8.96,87290,7.08,17.86,85291,10.66,15.86,FPC-628,16.8,19.55,FPC-628,16.8,22.88,87247,31.9,62.73,81458,14.6,29.26,81458,14.6,18.73,81458,14.6,23.9,81458,14.6,45.48
36061005800,87247,2.77,5.43,87247,2.77,5.43,87247,2.77,5.43,87247,2.77,11.39,87247,2.77,5.43,87247,2.77,5.43,87247,2.77,5.43,87247,2.77,11.39,87247,2.77,5.43,87247,2.77,5.43,87247,2.77,5.43,87247,2.77,11.39,87247,2.77,5.43,87247,2.77,5.43,87247,2.77,5.43,87247,2.77,11.39,87247,2.77,5.21,87247,2.77,5.21,87247,2.77,5.43,87247,2.77,12.42,87247,2.77,8.33,87247,2.77,8.26,87247,2.77,14.56,87247,2.77,42.46,87369,28.33,30.5,81735,12.59,14.7,81735,12.59,23.86,81458,32.52,38.17
36061006300,FPC-559,6.17,11.89,FPC-559,6.17,11.89,FPC-559,6.17,8.82,87247,19.28,26.39,FPC-559,6.17,11.89,FPC-559,6.17,11.89,FPC-559,6.17,8.96,87247,19.28,26.39,FPC-559,6.17,11.89,FPC-559,6.17,11.89,FPC-559,6.17,11.89,87247,19.28,26.39,FPC-559,6.17,11.89,FPC-559,6.17,10.74,FPC-559,6.17,11.89,87247,19.28,26.39,FPC-559,6.17,11.48,FPC-559,6.17,11.48,FPC-559,6.17,8.67,87290,9.12,15.31,80520,0.0,8.95,80749,7.57,16.08,87247,19.28,25.36,87247,19.28,56.91,81458,17.53,27.13,80720,10.72,16.48,81458,17.53,21.8,81458,17.53,41.5
36061006500,FPC-559,13.82,14.58,82998,12.28,13.66,FPC-529,6.42,10.84,87247,25.97,30.27,FPC-559,13.82,14.58,82998,12.28,13.66,82998,12.28,13.4,87247,25.97,30.27,FPC-559,13.82,14.58,82998,12.28,13.66,82998,12.28,13.66,87247,25.97,30.27,FPC-559,13.82,14.58,82998,12.28,13.66,82998,12.28,13.66,87247,25.97,30.27,81458,8.78,12.49,81458,8.78,11.63,81458,8.78,10.16,81458,8.78,14.72,80520,9.01,14.3,80749,15.21,22.08,FPC-628,25.31,26.63,87247,25.97,63.95,81458,8.78,23.56,81458,8.78,11.98,81458,8.78,18.92,81458,8.78,44.11
